
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
30293564,672,48849,,,,,,,,,,0.000,130.952,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
30344221,384,48860,,,,,,,,,,0.000,229.167,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
30464542,384,48890,,,,,,,,,,0.000,10.417,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
30538527,384,48899,,,,,,,,,,0.000,10.417,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
30612287,352,48917,,,,,,,,,,0.000,11.364,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
30692448,384,48934,,,,,,,,,,0.000,104.167,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
30807201,1216,48951,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
30838786,1152,48961,1,1,1,128,1,1,16,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
32177519,2656,49011,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
32194703,2752,49012,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
32214255,3776,49014,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
32448594,2496,49041,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
32451794,2752,49042,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
32455346,3552,49044,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
32665588,2368,49071,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
32668660,2784,49072,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
32672180,3488,49074,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
32871542,2496,49101,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
32874710,2848,49102,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
32878230,3584,49104,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
33069816,2496,49131,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
33073048,2624,49132,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
33076344,3520,49134,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
33257914,2368,49161,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
33260986,2720,49162,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
33264346,3552,49164,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
33448796,2528,49191,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
33452028,2688,49192,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
33455420,3584,49194,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
33638014,2400,49221,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
33641118,2752,49222,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
33644670,3488,49224,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
33823648,2496,49251,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
33826848,2656,49252,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
33830208,3584,49254,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
34007457,2336,49281,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
34010529,2752,49282,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
34014081,3520,49284,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
34202147,2656,49311,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
34205571,2784,49312,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
34209091,3520,49314,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
34384613,2400,49341,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
