
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 

 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

 PID   TID   DevId  Count  QCount  TAvg (ns)  TMed (ns)  TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)  QMed (ns)  QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)       API Name                                                    Kernel Name                                             
 ----  ----  -----  -----  ------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  -------------------  ----------------------------------------------------------------------------------------------------
 3415  3557      0    190     190  2716316.6  2657164.5    2168454    2852039      113270.8     7813.5     9235.0       4300      19420        3219.4  2706989.3  2651375.5    2162480    2839945      110513.1     1513.8     1552.0       1312       1824         169.5  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    100      99  2653309.9  2800633.5       9844    2829725      611538.1     6478.4     6385.0       5730      10530         618.1  2671132.6  2792450.0        177    2821079      553263.4     2411.8     2432.0       1696       2496         166.2  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    100     100  2614606.6  2760929.0       7865    2784096      603163.1     4963.8     4780.0       4430      13510        1047.7  2607481.2  2753798.0        681    2777362      603208.2     2161.6     2176.0       2112       2272          22.0  cudaLaunchKernel     void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl…
 3415  3557      0    100     100  2606394.4  2752249.5      14044    2775509      599802.6     4983.0     4904.5       4570       7120         408.6  2592771.3  2738582.5        929    2762231      599823.3     8640.1     8640.0       8192       8928         113.3  cudaLaunchKernel     void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
 3415  3557      0    195     195  2580784.2  2655339.0       7670    2702726      422300.7     4778.7     4610.0       3980      10340         811.0  2574118.6  2649839.0        833    2695642      422396.0     1886.9     1696.0       1216       2560         576.3  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    100     100  2451587.6  2588960.0       7191    2622998      566297.8     4583.6     4500.0       4140       8200         524.2  2444760.5  2582206.5        703    2616384      566252.1     2243.5     2272.0       1536       2304         158.1  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    100     100  2430863.9  2567260.5       6878    2602231      561591.7     5344.1     5060.0       4690      13030        1138.7  2424662.5  2561282.5        680    2596357      561751.3      857.3      864.0        832        896          13.9  cudaLaunchKernel     void at::native::mbtopk::fill<unsigned int, unsigned int>(T1 *, T1, T2)                             
 3415  3557      0    400     400  2416476.6  2552808.0       6047    2589563      556624.1     3379.6     3245.0       2860      12370         801.6  2408213.7  2544268.0       1147    2581498      555915.9     4883.3     5056.0       1504       5280         772.5  cudaLaunchKernel     at::native::mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)                       
 3415  3557      0    400     400  2415458.1  2551612.0       6294    2588843      556322.9     3440.8     3330.0       2960      14640         750.0  2409739.3  2545939.5       1034    2583351      556273.7     2278.0     2304.0       1824       2528         109.2  cudaLaunchKernel     void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned…
 3415  3557      0    400     400  2415253.5  2551446.0       6480    2588070      556171.6     3717.1     3440.0       2990      12660         875.4  2409484.1  2545660.5        725    2582414      556202.3     2052.4     2048.0       1824       2145          56.7  cudaLaunchKernel     void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, (int)1>(at::cud…
 3415  3557      0    100     100  2412520.8  2548365.5       5763    2587079      558075.4     3389.4     3350.0       3010       5840         398.4  2407698.4  2543514.5        710    2582491      558104.1     1433.0     1440.0       1152       1472          64.9  cudaLaunchKernel     void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(T1 *, short *, unsigned int, unsig…
 3415  3557      0    210     209  2410646.0  2666616.5       6494    2718169      783513.5     5478.7     5310.0       4370      14760        1144.2  2415781.1  2659848.0        895    2711541      767410.6      893.3      896.0        864        928          23.1  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
 3415  3557      0    200     200  2396659.7  2531940.0       5988    2578443      553148.8     3981.6     3845.0       3510      11780         765.4  2391794.4  2527356.0        974    2573787      553208.0      883.7      896.0        832        928          19.2  cudaLaunchKernel     void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail::cub::Reduc…
 3415  3557      0    200     200  2394008.0  2529553.0       6914    2575627      552133.1     4200.9     3870.0       3460      41409        2774.0  2387437.3  2523443.5        730    2569293      552275.3     2369.8     2336.0       2080       2528         104.7  cudaLaunchKernel     void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::s…
 3415  3557      0    100      99  2386466.0  2521966.0       8208    2562474      551772.9     4059.3     3795.0       3500      13610        1420.3  2402383.8  2514561.0       1230    2554744      499164.8     4048.0     4128.0       3104       4256         276.0  cudaLaunchKernel     void at::native::mbtopk::gatherTopK<float, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const…
 3415  3557      0    100     100  2372376.0  2508097.0       8802    2548874      548494.1     4341.5     4190.0       3870       8190         640.2  2364460.8  2500299.5        309    2541282      548607.3     3573.8     3584.0       3552       3680          21.8  cudaLaunchKernel     void at::native::bitonicSortKVInPlace<(int)-2, (int)-1, (int)16, (int)16, float, long, at::native::…
 3415  3557      0    100     100  2351116.7  2485806.0       8134    2528164      543912.2     5914.5     5770.0       5260      11689         763.4  2343872.5  2478702.0        680    2521310      544023.8     1329.6     1344.0       1216       1376          22.9  cudaLaunchKernel     void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 3415  3557      0    100     100  2329489.8  2463400.0       7832    2507310      539147.8     5636.8     5385.0       4940      10860        1004.6  2322499.5  2456741.0        544    2500994      539252.4     1353.6     1344.0       1312       1408          16.7  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at:…
 3415  3557      0    100     100  2271292.5  2403565.5       7178    2449799      526317.4     5561.9     5355.0       4930      13660        1129.8  2264830.7  2396673.5        150    2443651      526453.1      899.9      896.0        864        928          12.3  cudaLaunchKernel     void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 3415  3557      0    100     100  2254126.9  2385723.0       6870    2431355      522108.9     5267.7     4915.0       4470      15000        1263.8  2247752.6  2379889.5        621    2425547      522610.8     1106.6     1120.0       1088       1121          15.8  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)2, at::native::AUnaryFunctor<long, long, long, …
 3415  3557      0    100     100  2242696.4  2374541.0       7587    2420289      519704.0     4593.3     4425.0       4050       8809         789.1  2236175.1  2368307.0        653    2414043      519984.3     1928.0     1936.0       1824       2048          71.4  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
 3415  3557      0    100     100  2161937.6  2289524.5       8926    2337349      501383.3     5416.0     5235.0       4860       7400         543.8  2153444.1  2280717.5        577    2329493      501350.3     3077.5     3136.0       2560       3264         169.4  cudaLaunchKernel     void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
 3415  3557      0    100     100  2144626.4  2271413.0       6888    2320209      497990.2     5011.4     4850.0       4490      10610         805.8  2138721.3  2265727.0        383    2314573      498088.5      893.8      896.0        864        928          14.5  cudaLaunchKernel     void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
 3415  3557      0    100     100  2110352.0  2234511.0       7674    2288882      490136.8     5432.7     5100.0       4710      13420        1138.1  2103261.0  2227601.0        582    2282406      490167.4     1658.3     1648.0       1568       1728          35.6  cudaLaunchKernel     void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
 3415  3557      0    200     200  2104723.3  2228370.0       6855    2305980      488608.4     4986.4     4620.0       4150      40559        2685.5  2098479.6  2222529.0        716    2300230      488590.9     1257.3     1248.0       1216       1312          31.5  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at:…
 3415  3557      0    100     100  2067537.2  2190521.0       7220    2248753      480949.9     4765.8     4585.0       4190      11630         932.1  2061136.9  2184387.5        537    2242821      481045.6     1634.6     1632.0       1600       1664          26.8  cudaLaunchKernel     void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
 3415  3557      0    100     100  2038840.9  2160248.5       6788    2221623      474819.6     4707.6     4465.0       4120      12480        1008.4  2032801.2  2154333.5        518    2216063      475002.9     1332.2     1344.0       1248       1408          53.7  cudaLaunchKernel     void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
 3415  3557      0    200     200  2010797.9  1585973.0       6851    2740821      741895.7     5050.2     5015.0       4380      10039         572.4  2004618.1  1580316.0        846    2734537      741761.5     1129.6     1184.0       1024       1248          70.5  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, bool, at…
 3415  3557      0    100     100  1985690.7  2104036.0       6407    2172038      463407.0     4390.3     4215.0       3780       9210         766.2  1980280.6  2098306.5        853    2166922      463503.7     1019.8     1024.0        992       1056          14.8  cudaLaunchKernel     void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
 3415  3557      0   1595    1571  1867130.6  2110650.0       7285    2798490      764892.1     6514.3     5510.0       4350      20670        2241.2  1886913.0  2112187.0          2    2788054      736192.3     2096.6     1792.0       1600       4192         639.2  cudaLaunchKernel     void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
