
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TensorRT-LLM:_sample_async,PushPop,43979186,264702667,100,439791.9,300067.0,286051,3444130,611261.6,10230,102.3,0.0,1.0
TensorRT-LLM:sample_async,PushPop,43979186,261644969,100,439791.9,300067.0,286051,3444130,611261.6,10230,102.3,1.0,4.0
TensorRT-LLM:_prepare_inputs,PushPop,32085853,45205896,100,320858.5,311555.0,306275,546374,27401.6,800,8.0,1.0,0.0
TensorRT-LLM:_process_requests,PushPop,25956126,183113599,100,259561.3,196594.0,191202,1612304,278489.6,6900,69.0,2.0,1.0
TensorRT-LLM:sample_batched_by_strategy,PushPop,23840678,148170250,100,238406.8,185586.0,183714,1361101,232078.7,6600,66.0,3.0,0.0
TensorRT-LLM:_forward_step,PushPop,21596376,25369060,5,4319275.2,4273323.0,4259915,4517933,111286.0,365,73.0,1.0,0.0
"TensorRT-LLM:[Executor] _forward_step 60: 1 ctx reqs, 0 gen reqs",PushPop,6401888,6518259,1,6401888.0,6401888.0,6401888,6401888,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 80: 1 ctx reqs, 0 gen reqs",PushPop,5668888,5633387,1,5668888.0,5668888.0,5668888,5668888,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs",PushPop,5547608,5482928,1,5547608.0,5547608.0,5547608,5547608,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 120: 1 ctx reqs, 0 gen reqs",PushPop,5457334,5413730,1,5457334.0,5457334.0,5457334,5457334,0.0,81,81.0,0.0,2.0
