
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

                            NVTX Range                               Style   PID   TID   NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 -----------------------------------------------------------------  -------  ----  ----  ---------  ---------  ---------------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop  3415  3557          5          5             7872    1574.4    1568.0      1536      1600         26.8  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop  3415  3557          5          5             4448     889.6     896.0       864       896         14.3  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop  3415  3557        200        200           473955    2369.8    2336.0      2080      2528        104.7  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::s…
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop  3415  3557        200        200           176737     883.7     896.0       832       928         19.2  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail::cub::Reduc…
 TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs  PushPop  3415  3557          1          1           185026  185026.0  185026.0    185026    185026          0.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
 TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs  PushPop  3415  3557          1         22            78593    3572.4    3552.0      3520      3744         66.6  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
 TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs  PushPop  3415  3557          1         22            59904    2722.9    2720.0      2688      2816         31.1  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
 TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs  PushPop  3415  3557          1         22            53696    2440.7    2384.0      2368      2656         89.0  void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
 TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs  PushPop  3415  3557          1          1             3424    3424.0    3424.0      3424      3424          0.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
