
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_off.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
14.0,264702667,100,2647026.7,2591675.5,2523917,3721585,194788.7,TensorRT-LLM:_sample_async
13.8,261644969,100,2616449.7,2561936.0,2494677,3691315,193954.4,TensorRT-LLM:sample_async
9.7,183113599,100,1831136.0,1814143.0,1762444,2448707,85932.4,TensorRT-LLM:_process_requests
7.8,148170250,100,1481702.5,1468656.0,1410487,2014541,75303.0,TensorRT-LLM:sample_batched_by_strategy
6.0,114019609,100,1140196.1,1219178.0,77789,1335367,279570.6,TensorRT-LLM:_update_requests
6.0,113865121,100,1138651.2,1217298.5,76629,1333877,279589.1,TensorRT-LLM:update_requests
6.0,113148216,1,113148216.0,113148216.0,113148216,113148216,0.0,:overlap_off_measurement_0
5.8,110117694,1,110117694.0,110117694.0,110117694,110117694,0.0,:overlap_off_measurement_4
5.8,110023345,1,110023345.0,110023345.0,110023345,110023345,0.0,:overlap_off_measurement_1
5.8,110016685,1,110016685.0,110016685.0,110016685,110016685,0.0,:overlap_off_measurement_3
5.8,109971625,1,109971625.0,109971625.0,109971625,109971625,0.0,:overlap_off_measurement_2
2.4,45205896,100,452059.0,447796.0,434166,747893,32130.7,TensorRT-LLM:_prepare_inputs
1.5,28367411,100,283674.1,277642.5,270567,497966,23806.5,TensorRT-LLM:_write_finish_reasons
1.3,25369060,5,5073812.0,4958443.0,4738725,5674716,361587.8,TensorRT-LLM:_forward_step
1.1,21737176,100,217371.8,213408.0,204838,338867,13998.3,TensorRT-LLM:maybe_create_beam_histories
0.7,12676314,100,126763.1,108199.0,0,1213179,205424.6,TensorRT-LLM:_fetch_new_requests
0.4,7841911,100,78419.1,71229.5,43130,229028,40025.5,TensorRT-LLM:prepare_resources
0.4,7647005,100,76470.1,73484.0,71700,187688,12837.3,TensorRT-LLM:update_original_tokens
0.3,6518259,1,6518259.0,6518259.0,6518259,6518259,0.0,"TensorRT-LLM:[Executor] _forward_step 60: 1 ctx reqs, 0 gen reqs"
0.3,5633387,1,5633387.0,5633387.0,5633387,5633387,0.0,"TensorRT-LLM:[Executor] _forward_step 80: 1 ctx reqs, 0 gen reqs"
0.3,5482928,1,5482928.0,5482928.0,5482928,5482928,0.0,"TensorRT-LLM:[Executor] _forward_step 100: 1 ctx reqs, 0 gen reqs"
0.3,5413730,1,5413730.0,5413730.0,5413730,5413730,0.0,"TensorRT-LLM:[Executor] _forward_step 120: 1 ctx reqs, 0 gen reqs"
0.3,5266030,1,5266030.0,5266030.0,5266030,5266030,0.0,"TensorRT-LLM:[Executor] _forward_step 140: 1 ctx reqs, 0 gen reqs"
0.3,5097409,100,50974.1,48364.5,45940,173898,13239.4,TensorRT-LLM:_handle_responses
0.2,2986402,100,29864.0,1535.0,1320,607824,124111.2,TensorRT-LLM:setup_sampler_step
0.1,2759238,200,13796.2,13705.0,11520,50199,3309.6,CCCL:cub::DeviceScan::InclusiveSumByKey
0.1,1883105,100,18831.0,18225.0,17200,26229,1841.8,TensorRT-LLM:_enqueue_responses
0.1,1340186,100,13401.9,12460.0,11950,44829,3643.6,TensorRT-LLM:_schedule
0.0,791933,1,791933.0,791933.0,791933,791933,0.0,"TensorRT-LLM:[Executor] _forward_step 61: 0 ctx reqs, 1 gen reqs"
0.0,730083,1,730083.0,730083.0,730083,730083,0.0,"TensorRT-LLM:[Executor] _forward_step 158: 0 ctx reqs, 1 gen reqs"
0.0,724804,100,7248.0,6680.0,5020,24350,2235.9,TensorRT-LLM:update_resources
0.0,723783,1,723783.0,723783.0,723783,723783,0.0,"TensorRT-LLM:[Executor] _forward_step 156: 0 ctx reqs, 1 gen reqs"
0.0,723503,1,723503.0,723503.0,723503,723503,0.0,"TensorRT-LLM:[Executor] _forward_step 101: 0 ctx reqs, 1 gen reqs"
