Generating SQLite file /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite from /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.nsys-rep
Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     17.9          3506619       1690    2074.9    1824.0      1600      4192        593.7  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
     10.0          1960470        400    4901.2    5056.0      1536      5312        775.9  at::native::mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)                       
      8.6          1683380        845    1992.2    1824.0      1600      3105        429.6  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      4.7           922761          5  184552.2  184642.0    184289    184834        236.9  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      4.6           909542        400    2273.9    2273.0      1824      2464        107.3  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned…
      4.4           859019        100    8590.2    8576.5      8032      8896        131.7  void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
      4.2           821610        400    2054.0    2048.0      1856      2144         55.5  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, (int)1>(at::cud…
      3.8           746665        545    1370.0    1280.0      1152      1856        200.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      2.4           475042        200    2375.2    2352.0      2080      2528        108.5  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::s…
      2.1           404867        100    4048.7    4128.0      3136      4256        274.4  void at::native::mbtopk::gatherTopK<float, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const…
      2.0           392419        110    3567.4    3552.0      3488      3936         70.7  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
      1.9           368002        195    1887.2    1664.0      1216      2560        580.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.8           357699        100    3577.0    3584.0      3552      3712         25.9  void at::native::bitonicSortKVInPlace<(int)-2, (int)-1, (int)16, (int)16, float, long, at::native::…
      1.6           307718        100    3077.2    3136.0      2592      3232        162.9  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      1.5           300325        110    2730.2    2720.0      2688      2944         46.0  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
      1.5           288162        190    1516.6    1536.0      1312      1824        169.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.5           286917        200    1434.6    1408.0      1184      1792        139.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.4           269218        110    2447.4    2400.0      2336      2688         87.0  void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
      1.3           252097        200    1260.5    1264.0      1216      1312         29.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at:…
      1.2           241729        100    2417.3    2432.5      1696      2528        162.5  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.2           238432        200    1192.2    1184.0      1088      1376         83.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
      1.2           226785        100    2267.8    2272.0      2208      2400         27.9  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<long, at::native::func_wrappe…
      1.2           225921        200    1129.6    1184.0      1024      1248         70.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<int, int, bool, at…
      1.1           224416        100    2244.2    2272.0      1568      2304        153.6  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      1.1           215681        100    2156.8    2144.0      2080      2272         24.1  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl…
      1.0           191712        100    1917.1    1920.0      1824      2016         53.3  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…
      1.0           187619        210     893.4     896.0       864       928         23.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.9           179909        100    1799.1    1792.0      1760      1888         26.7  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.9           177027        200     885.1     896.0       832       928         17.7  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail::cub::Reduc…
      0.8           165217        100    1652.2    1648.0      1568      1728         39.3  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.8           164929        100    1649.3    1664.0      1568      1696         24.3  void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatte…
      0.7           142848        100    1428.5    1440.0      1152      1472         65.2  void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(T1 *, short *, unsigned int, unsig…
      0.7           135682        100    1356.8    1344.0      1312      1472         26.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at:…
      0.7           135456        100    1354.6    1344.0      1344      1472         24.9  void at::native::vectorized_elementwise_kernel<(int)4, void at::native::compare_scalar_kernel<int>(…
      0.7           132961        100    1329.6    1344.0      1248      1408         49.3  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
