
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TensorRT-LLM:_sample_async,PushPop,43692939,260601070,100,436929.4,296595.0,283843,3373505,602901.9,10230,102.3,0.0,1.0
TensorRT-LLM:sample_async,PushPop,43692939,257813038,100,436929.4,296595.0,283843,3373505,602901.9,10230,102.3,1.0,4.0
TensorRT-LLM:_process_requests,PushPop,26209025,180743182,100,262090.3,198610.0,193570,1587535,280603.5,6900,69.0,2.0,1.0
TensorRT-LLM:sample_batched_by_strategy,PushPop,24105835,146545295,100,241058.4,187842.0,186401,1340973,233878.2,6600,66.0,3.0,0.0
TensorRT-LLM:_forward_step,PushPop,21462739,24676547,5,4292547.8,4269642.0,4265866,4365899,42285.9,365,73.0,1.0,0.0
TensorRT-LLM:_prepare_inputs,PushPop,14671822,54303599,100,146718.2,114913.0,26688,546374,113146.9,1085,10.8,1.0,0.0
"TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs",PushPop,6100700,6214741,1,6100700.0,6100700.0,6100700,6100700,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs",PushPop,5513366,5396839,1,5513366.0,5513366.0,5513366,5513366,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs",PushPop,5490869,5452188,1,5490869.0,5490869.0,5490869,5490869,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 147: 1 ctx reqs, 0 gen reqs",PushPop,5385013,5283590,1,5385013.0,5385013.0,5385013,5385013,0.0,81,81.0,0.0,2.0
"TensorRT-LLM:[Executor] _forward_step 126: 1 ctx reqs, 0 gen reqs",PushPop,5380693,5266021,1,5380693.0,5380693.0,5380693,5380693,0.0,81,81.0,0.0,2.0
TensorRT-LLM:_write_finish_reasons,PushPop,4374215,27652518,100,43742.2,32768.0,32576,275234,48083.6,1500,15.0,2.0,0.0
TensorRT-LLM:maybe_create_beam_histories,PushPop,4366445,21323540,100,43664.4,35744.0,27808,175362,29028.5,900,9.0,2.0,0.0
TensorRT-LLM:setup_sampler_step,PushPop,2203541,2791603,5,440708.2,415076.0,383267,524421,59411.1,130,26.0,2.0,0.0
CCCL:cub::DeviceScan::InclusiveSumByKey,PushPop,852264,2668515,200,4261.3,4128.0,3936,9824,921.2,400,2.0,0.0,0.0
TensorRT-LLM:update_original_tokens,PushPop,781708,7440336,100,7817.1,6112.0,6048,41728,7436.8,300,3.0,2.0,0.0
"TensorRT-LLM:[Executor] _forward_step 85: 0 ctx reqs, 1 gen reqs",PushPop,596550,839192,1,596550.0,596550.0,596550,596550,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 65: 0 ctx reqs, 1 gen reqs",PushPop,562214,859152,1,562214.0,562214.0,562214,562214,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 106: 0 ctx reqs, 1 gen reqs",PushPop,541733,777003,1,541733.0,541733.0,541733,541733,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 64: 0 ctx reqs, 1 gen reqs",PushPop,539173,838832,1,539173.0,539173.0,539173,539173,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 129: 0 ctx reqs, 1 gen reqs",PushPop,513349,784262,1,513349.0,513349.0,513349,513349,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 148: 0 ctx reqs, 1 gen reqs",PushPop,510053,765403,1,510053.0,510053.0,510053,510053,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 127: 0 ctx reqs, 1 gen reqs",PushPop,509829,767033,1,509829.0,509829.0,509829,509829,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 100: 0 ctx reqs, 1 gen reqs",PushPop,422660,765193,1,422660.0,422660.0,422660,422660,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 164: 0 ctx reqs, 1 gen reqs",PushPop,401828,767603,1,401828.0,401828.0,401828,401828,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 66: 0 ctx reqs, 1 gen reqs",PushPop,396611,789213,1,396611.0,396611.0,396611,396611,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 163: 0 ctx reqs, 1 gen reqs",PushPop,297058,750513,1,297058.0,297058.0,297058,297058,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 86: 0 ctx reqs, 1 gen reqs",PushPop,296963,768673,1,296963.0,296963.0,296963,296963,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 128: 0 ctx reqs, 1 gen reqs",PushPop,294050,792163,1,294050.0,294050.0,294050,294050,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 156: 0 ctx reqs, 1 gen reqs",PushPop,291203,763273,1,291203.0,291203.0,291203,291203,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 124: 0 ctx reqs, 1 gen reqs",PushPop,285858,758443,1,285858.0,285858.0,285858,285858,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 89: 0 ctx reqs, 1 gen reqs",PushPop,280290,763193,1,280290.0,280290.0,280290,280290,0.0,13,13.0,0.0,1.0
"TensorRT-LLM:[Executor] _forward_step 165: 0 ctx reqs, 1 gen reqs",PushPop,277859,764133,1,277859.0,277859.0,277859,277859,0.0,13,13.0,0.0,1.0
