
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_kern_sum.py]... 

 ** NVTX Range Kernel Summary (nvtx_kern_sum):

                            NVTX Range                               Style   PID   TID   NVTX Inst  Kern Inst  Total Time (ns)  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                              Kernel Name                                             
 -----------------------------------------------------------------  -------  ----  ----  ---------  ---------  ---------------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop  2100  3054          5          5             7776    1555.2    1568.0      1536      1568         17.5  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop  2100  3054          5          5             4416     883.2     896.0       864       896         17.5  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop  2100  3054        200        200           475042    2375.2    2352.0      2080      2528        108.5  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::s…
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop  2100  3054        200        200           177027     885.1     896.0       832       928         17.7  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail::cub::Reduc…
 TensorRT-LLM:[Executor] _forward_step 100: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4736    2368.0    2368.0      2048      2688        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 100: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 101: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4800    2400.0    2400.0      2080      2720        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 101: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 102: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4704    2352.0    2352.0      2048      2656        429.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 102: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 103: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4832    2416.0    2416.0      2112      2720        429.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 103: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1           184289  184289.0  184289.0    184289    184289          0.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1         22            78400    3563.6    3552.0      3488      3808         66.6  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1         22            59808    2718.5    2720.0      2688      2752         23.1  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1         22            53856    2448.0    2448.0      2368      2656         86.5  void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1             3456    3456.0    3456.0      3456      3456          0.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1             2432    2432.0    2432.0      2432      2432          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          2             2368    1184.0    1184.0      1184      1184          0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<int>, std::array<cha…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1             1536    1536.0    1536.0      1536      1536          0.0  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1             1408    1408.0    1408.0      1408      1408          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1             1248    1248.0    1248.0      1248      1248          0.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1              896     896.0     896.0       896       896          0.0  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
 TensorRT-LLM:[Executor] _forward_step 106: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4704    2352.0    2352.0      1984      2720        520.4  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 106: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1312    1312.0    1312.0      1312      1312          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 107: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4832    2416.0    2416.0      2144      2688        384.7  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 107: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 108: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4769    2384.5    2384.5      2081      2688        429.2  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 108: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 109: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4736    2368.0    2368.0      2048      2688        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 109: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 110: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4800    2400.0    2400.0      2080      2720        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 110: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 111: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4736    2368.0    2368.0      2048      2688        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 111: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1664    1664.0    1664.0      1664      1664          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 112: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4864    2432.0    2432.0      2112      2752        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 112: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 113: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4768    2384.0    2384.0      2080      2688        429.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 113: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 114: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4800    2400.0    2400.0      2080      2720        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 114: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1696    1696.0    1696.0      1696      1696          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 115: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4736    2368.0    2368.0      2048      2688        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 115: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 116: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4801    2400.5    2400.5      2081      2720        451.8  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 116: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 117: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4704    2352.0    2352.0      2048      2656        429.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 117: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 118: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4801    2400.5    2400.5      2080      2721        453.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 118: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 119: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4864    2432.0    2432.0      2176      2688        362.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 119: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 120: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4800    2400.0    2400.0      2112      2688        407.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 120: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 121: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4736    2368.0    2368.0      2048      2688        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 121: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 122: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4800    2400.0    2400.0      2080      2720        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 122: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 123: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4736    2368.0    2368.0      2048      2688        452.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 123: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1568    1568.0    1568.0      1568      1568          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 124: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          2             4832    2416.0    2416.0      2112      2720        429.9  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
 TensorRT-LLM:[Executor] _forward_step 124: 0 ctx reqs, 1 gen reqs  PushPop  2100  3054          1          1             1600    1600.0    1600.0      1600      1600          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
 TensorRT-LLM:[Executor] _forward_step 126: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1          1           184834  184834.0  184834.0    184834    184834          0.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
 TensorRT-LLM:[Executor] _forward_step 126: 1 ctx reqs, 0 gen reqs  PushPop  2100  3054          1         22            78401    3563.7    3552.0      3520      3808         60.5  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
