
NOTICE: Existing SQLite export found: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite
        It is assumed file was previously exported from: /home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/scratch.bbuddharaju_gpu/TensorRT-LLM/nvbugs_5615248/trace_overlap_on.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                Range                              
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  -----------------------------------------------------------------
     16.3        260601070        100   2606010.7   2568741.0   2511216   3539046     155722.0  TensorRT-LLM:_sample_async                                       
     16.1        257813038        100   2578130.4   2540111.0   2484066   3498497     154273.5  TensorRT-LLM:sample_async                                        
     11.3        180743182        100   1807431.8   1796608.0   1743573   2107630      45669.2  TensorRT-LLM:_process_requests                                   
      9.2        146545295        100   1465452.9   1459626.0   1415787   1689184      38930.1  TensorRT-LLM:sample_batched_by_strategy                          
      5.8         93383679          1  93383679.0  93383679.0  93383679  93383679          0.0  :overlap_on_measurement_0                                        
      5.7         91354807          1  91354807.0  91354807.0  91354807  91354807          0.0  :overlap_on_measurement_1                                        
      5.7         91137510          1  91137510.0  91137510.0  91137510  91137510          0.0  :overlap_on_measurement_4                                        
      5.7         91091460          1  91091460.0  91091460.0  91091460  91091460          0.0  :overlap_on_measurement_2                                        
      5.7         90978881          1  90978881.0  90978881.0  90978881  90978881          0.0  :overlap_on_measurement_3                                        
      3.4         54303599        100    543036.0    541080.0    468826    732564      28807.6  TensorRT-LLM:_prepare_inputs                                     
      1.7         27652518        100    276525.2    273307.5    267448    307257       7617.0  TensorRT-LLM:_write_finish_reasons                               
