
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_decode_loop_v1/pyt_beam10_decode.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_decode_loop_v1/pyt_beam10_decode.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_decode_loop_v1/pyt_beam10_decode.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
62.7,11814777910,237,49851383.6,6421777.0,4623298,4610676819,417404671.2,TensorRT-LLM:_forward_step
7.9,1491847530,502,2971807.8,2716584.0,2625770,116950913,5099073.2,TensorRT-LLM:_sample_async
7.8,1478028780,502,2944280.4,2689439.5,2599901,116900073,5097999.3,TensorRT-LLM:sample_async
5.6,1057106815,502,2105790.5,1901813.5,1840029,100787096,4414024.8,TensorRT-LLM:_process_requests
4.6,873941108,502,1740918.5,1538822.5,1479734,99967065,4393487.5,TensorRT-LLM:sample_batched_by_strategy
3.1,581650212,531,1095386.5,49390.0,38470,412826334,18433963.7,TensorRT-LLM:_fetch_new_requests
2.2,408230689,708,576597.0,577618.5,377926,1770150,115773.4,TensorRT-LLM:_prepare_inputs
0.8,149754585,502,298315.9,294716.5,283666,571253,17409.0,TensorRT-LLM:_write_finish_reasons
0.7,128021643,502,255023.2,223502.5,211948,14475135,636022.9,TensorRT-LLM:maybe_create_beam_histories
0.4,69808869,502,139061.5,126693.5,45489,365326,45176.7,TensorRT-LLM:prepare_resources
0.3,58467919,502,116470.0,79039.0,76759,952050,156767.9,TensorRT-LLM:_update_requests
0.3,57392671,502,114328.0,76949.5,74759,949980,156853.9,TensorRT-LLM:update_requests
0.2,39896089,502,79474.3,77034.0,74749,644853,25826.3,TensorRT-LLM:update_original_tokens
0.2,28375416,502,56524.7,52035.0,31650,415015,35222.5,TensorRT-LLM:_handle_responses
0.1,13775455,1004,13720.6,13804.5,11680,195418,6542.3,CCCL:cub::DeviceScan::InclusiveSumByKey
0.1,13613136,2,6806568.0,6806568.0,6636625,6976511,240335.7,"TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs"
0.1,10547921,529,19939.4,21079.0,12470,38080,3649.9,TensorRT-LLM:_enqueue_responses
0.1,10210661,502,20340.0,1810.0,1470,687722,79098.8,TensorRT-LLM:setup_sampler_step
0.0,7623798,529,14411.7,13560.0,12520,86829,4696.9,TensorRT-LLM:_schedule
0.0,6615465,1,6615465.0,6615465.0,6615465,6615465,0.0,"TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs"
0.0,5967438,502,11887.3,6690.0,4940,158208,24006.4,TensorRT-LLM:update_resources
0.0,5900183,1,5900183.0,5900183.0,5900183,5900183,0.0,"TensorRT-LLM:[Executor] _forward_step 357: 1 ctx reqs, 0 gen reqs"
0.0,5748634,1,5748634.0,5748634.0,5748634,5748634,0.0,"TensorRT-LLM:[Executor] _forward_step 420: 1 ctx reqs, 0 gen reqs"
0.0,5644966,1,5644966.0,5644966.0,5644966,5644966,0.0,"TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs"
0.0,5588247,1,5588247.0,5588247.0,5588247,5588247,0.0,"TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs"
0.0,5473978,1,5473978.0,5473978.0,5473978,5473978,0.0,"TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs"
0.0,5433189,1,5433189.0,5433189.0,5433189,5433189,0.0,"TensorRT-LLM:[Executor] _forward_step 126: 1 ctx reqs, 0 gen reqs"
