
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_decode_loop_v2/pyt_beam10_decode.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_decode_loop_v2/pyt_beam10_decode.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_decode_loop_v2/pyt_beam10_decode.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     10.1         67498551        726   92973.2   98017.0      2496    106209      19815.4  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      9.8         65934701       4752   13875.1   13632.0      5024     23392       1273.8  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      9.7         65050485       1856   35048.8   37360.5     14432    184802      22989.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      8.0         53544879       9504    5633.9    5632.0      3936      7008        124.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrappe…
      8.0         53496001        579   92393.8   66113.0      6720    188899      76548.0  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      6.5         43627422       2024   21555.1   18176.0     13856     45760       8472.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      6.3         41898786        836   50118.2   39936.0     37313     75009      15636.4  ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_64x3_tn                                          
      5.5         37029286       4752    7792.4    7840.0      3264      8256        317.2  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      3.7         24699565        308   80193.4   80129.0     75041     99713       1636.4  ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_tn                                          
      3.0         19964994        264   75625.0   75457.0     73377     79233        967.0  ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn                                         
      2.8         18495137       4994    3703.5    3584.0      2432      5216        932.3  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
      2.7         18184623       8480    2144.4    1888.0      1664      4288        593.7  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      2.4         16118637       4752    3392.0    3392.0      1728      3457        114.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::BFloat16, c10…
      2.0         13525963       4994    2708.4    2688.0      2368      3616        224.4  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
      1.8         12019803       4994    2406.8    2304.0      2240      3072        162.2  void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
      1.6         10693304       9504    1125.1    1120.0      1088      1344         14.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      1.5         10153653       2008    5056.6    5248.0      1568      5537        830.4  at::native::mbtopk::computeDigitCumSum(short *, unsigned int *, unsigned int)                       
      1.4          9599917        132   72726.6   72545.0     71169     75041        873.0  ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn                                          
      1.3          8380423       4016    2086.8    1952.0      1664      3424        441.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.9          6333151       3036    2086.0    2016.0      1696      2976        258.9  void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsi…
      0.9          5843552        308   18972.6   18944.0     17440     24000        600.8  ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn                                           
      0.7          4509729       2008    2245.9    2272.0      1760      2592        109.0  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(T1 *, short *, unsigned…
      0.6          4311323        502    8588.3    8576.0      8128      8928        110.0  void at::native::<unnamed>::cunn_SoftMaxForward<(int)4, float, float, float, at::native::<unnamed>:…
      0.6          4154316       2008    2068.9    2048.0      1824      2177         61.5  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, (int)1>(at::cud…
      0.6          3955434       2745    1441.0    1344.0      1216      1856        184.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.5          3299907         44   74997.9   69248.5     20800    154146      50410.4  void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
