Generating SQLite file nvbugs_5615248/trtllm_bench/nsys_decode_loop_v2/pyt_beam10_decode.sqlite from nvbugs_5615248/trtllm_bench/nsys_decode_loop_v2/pyt_beam10_decode.nsys-rep
Processing [nvbugs_5615248/trtllm_bench/nsys_decode_loop_v2/pyt_beam10_decode.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                Range                              
 --------  ---------------  ---------  ----------  ---------  --------  ----------  -----------  -----------------------------------------------------------------
     59.2      11800539750        237  49791307.0  6127208.0   4574413  4672642665  419895932.6  TensorRT-LLM:_forward_step                                       
      7.6       1512125637        502   3012202.5  2751372.0   2683963   116774434    5089303.5  TensorRT-LLM:_sample_async                                       
      7.5       1498458613        502   2984977.3  2724542.0   2655853   116716555    5087905.5  TensorRT-LLM:sample_async                                        
      5.4       1081053016        502   2153492.1  1945425.0   1884591   100889866    4416424.5  TensorRT-LLM:_process_requests                                   
      4.5        887504223        502   1767936.7  1562109.0   1506774   100014944    4394457.5  TensorRT-LLM:sample_batched_by_strategy                          
      3.2        628555348        502   1252102.3  1049120.0   1007570    99028274    4373217.4  TensorRT-LLM:sbs.group.sample                                    
      2.9        583824036        531   1099480.3    44069.0     33849   416412870   18583257.4  TensorRT-LLM:_fetch_new_requests                                 
      2.0        400089071        708    565097.6   564449.0    357116     3027540     138723.2  TensorRT-LLM:_prepare_inputs                                     
      0.8        167205322        502    333078.3   329001.5    318987      920310      32812.6  TensorRT-LLM:sbs.group_requests                                  
      0.7        149099442        502    297010.8   292427.0    283537      882471      30559.6  TensorRT-LLM:_write_finish_reasons                               
      0.6        127507574        502    253999.2   222113.0    208958    14207996     624548.1  TensorRT-LLM:maybe_create_beam_histories                         
      0.5        103323566        502    205823.8   203248.0    198828      456396      12879.3  TensorRT-LLM:pr.unbatch                                          
      0.3         64835097        502    129153.6   119423.5     44750      292767      37367.8  TensorRT-LLM:prepare_resources                                   
      0.3         57569042        502    114679.4    77264.0     74579      875812     155735.4  TensorRT-LLM:_update_requests                                    
      0.3         56549319        502    112648.0    75264.5     72679      874242     155816.2  TensorRT-LLM:update_requests                                     
      0.2         39530174        502     78745.4    77419.0     75129      130738       4691.8  TensorRT-LLM:sbs.group.indexer_logits                            
      0.2         38693116        502     77077.9    76064.0     73650      127458       3838.9  TensorRT-LLM:update_original_tokens                              
      0.2         38006486        502     75710.1    72349.0     67989      122089       7283.6  TensorRT-LLM:pr.select_logits                                    
      0.1         25464693        502     50726.5    47629.5     29240      320327      27923.8  TensorRT-LLM:_handle_responses                                   
      0.1         17591083        502     35042.0    34265.0     33019       75169       3323.6  TensorRT-LLM:pr.build_indexer                                    
      0.1         13844400          2   6922200.0  6922200.0   6896070     6948330      36953.4  TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs  
      0.1         13833341        502     27556.5    27110.0     26279       50360       1989.6  TensorRT-LLM:sbs.group.copy_result                               
      0.1         13492605       1004     13438.8    13675.0     11480       89539       2881.4  CCCL:cub::DeviceScan::InclusiveSumByKey                          
      0.0          9885811        502     19692.9     1535.0      1290      669053      77538.2  TensorRT-LLM:setup_sampler_step                                  
      0.0          9214056        529     17417.9    18470.0     10770       40630       3324.2  TensorRT-LLM:_enqueue_responses                                  
      0.0          8808041        502     17545.9    17169.5     16470       36300       1811.3  TensorRT-LLM:sbs.alloc_buffers                                   
      0.0          8059990        502     16055.8    15654.0     14710       25500       1558.4  TensorRT-LLM:pr.apply_biases                                     
      0.0          7370190        529     13932.3    13110.0     12209       82979       4786.9  TensorRT-LLM:_schedule                                           
      0.0          6626903          1   6626903.0  6626903.0   6626903     6626903          0.0  TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs  
