
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

                               Range                                 Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 -----------------------------------------------------------------  -------  --------------------  ---------------------  ---------------  -------------  -------------  -------------  -------------  ----------------  -------------  -----------  -------------  -------------
 TensorRT-LLM:_forward_step                                         PushPop            4657910811            11630614601              215     21664701.4      5707172.0        4314964     1704390283       121208989.8          28490        132.5            0.0            0.0
 TensorRT-LLM:_sample_async                                         PushPop             165694670              396995362              102      1624457.5       298419.5         289700      116299706        11491277.2          10484        102.8            0.0            1.0
 TensorRT-LLM:sample_async                                          PushPop             165694670              394134005              102      1624457.5       298419.5         289700      116299706        11491277.2          10484        102.8            1.0            4.1
 TensorRT-LLM:_process_requests                                     PushPop             127681767              294007916              102      1251782.0       199698.0         195202       99238257         9803556.2           7038         69.0            2.0            1.0
 TensorRT-LLM:sample_batched_by_strategy                            PushPop             124752486              256180353              102      1223063.6       189346.5         188162       98706187         9751568.6           6732         66.0            3.0            0.0
 TensorRT-LLM:_prepare_inputs                                       PushPop              92119044              170493602              308       299087.8       295523.0          22816         664200          118852.8           2329          7.6            0.3            0.0
 TensorRT-LLM:maybe_create_beam_histories                           PushPop              18820123               37224593              102       184511.0        35681.0          27200       14184743         1400459.5            918          9.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs    PushPop              13734115               14085298                2      6867057.5      6867057.5        6659056        7075059          294158.5            160         80.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs    PushPop               6509229                6523098                1      6509229.0      6509229.0        6509229        6509229               0.0             79         79.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs   PushPop               5685445                5674697                1      5685445.0      5685445.0        5685445        5685445               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs   PushPop               5637508                5619908                1      5637508.0      5637508.0        5637508        5637508               0.0             79         79.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs   PushPop               5625027                5631277                1      5625027.0      5625027.0        5625027        5625027               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs   PushPop               5563683                5556278                1      5563683.0      5563683.0        5563683        5563683               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:_write_finish_reasons                                 PushPop               5447646               30758394              102        53408.3        33568.0          33344         617575           80181.6           1530         15.0            2.0            0.0
 TensorRT-LLM:setup_sampler_step                                    PushPop               4586133                5219341                7       655161.9       611239.0         596904         902378          109945.0            182         26.0            2.0            3.0
 TensorRT-LLM:prepare_beam_search                                   PushPop               3238406                3500027                7       462629.4       452069.0         439141         529702           30797.4            147         21.0            4.0            7.0
 TensorRT-LLM:setup.prepare_beam_search                             PushPop               3238406                3520136                7       462629.4       452069.0         439141         529702           30797.4            147         21.0            3.0            1.0
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop               1451860                4697222              218         6659.9         3328.0           3040          55841            5574.7            436          2.0            0.0            0.0
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop                935977                2805912              204         4588.1         4080.0           3904          61152            4128.7            408          2.0            0.0            0.0
 TensorRT-LLM:update_original_tokens                                PushPop                908015                7964534              102         8902.1         6320.5           6272          51105            9597.3            306          3.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs    PushPop                633127                 954311                1       633127.0       633127.0         633127         633127               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 64: 0 ctx reqs, 1 gen reqs   PushPop                577031                 818082                1       577031.0       577031.0         577031         577031               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 22: 0 ctx reqs, 1 gen reqs   PushPop                563558                 798082                1       563558.0       563558.0         563558         563558               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 43: 0 ctx reqs, 1 gen reqs   PushPop                555079                 793092                1       555079.0       555079.0         555079         555079               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 85: 0 ctx reqs, 1 gen reqs   PushPop                542119                 788333                1       542119.0       542119.0         542119         542119               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 19: 0 ctx reqs, 1 gen reqs   PushPop                534726                 773443                1       534726.0       534726.0         534726         534726               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 23: 0 ctx reqs, 1 gen reqs   PushPop                494118                 788512                1       494118.0       494118.0         494118         494118               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:setup.finish_reasons.update                           PushPop                474694                 919632                7        67813.4        48064.0          46881         183714           51139.7             28          4.0            3.0            0.0
 TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs    PushPop                437765                 912082                1       437765.0       437765.0         437765         437765               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 61: 0 ctx reqs, 1 gen reqs   PushPop                423013                 829182                1       423013.0       423013.0         423013         423013               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 24: 0 ctx reqs, 1 gen reqs   PushPop                407045                 817972                1       407045.0       407045.0         407045         407045               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 75: 0 ctx reqs, 1 gen reqs   PushPop                394308                 797663                1       394308.0       394308.0         394308         394308               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 33: 0 ctx reqs, 1 gen reqs   PushPop                393444                 805393                1       393444.0       393444.0         393444         393444               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 65: 0 ctx reqs, 1 gen reqs   PushPop                382660                 814043                1       382660.0       382660.0         382660         382660               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 77: 0 ctx reqs, 1 gen reqs   PushPop                379140                 816862                1       379140.0       379140.0         379140         379140               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 26: 0 ctx reqs, 1 gen reqs   PushPop                378692                 804132                1       378692.0       378692.0         378692         378692               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 35: 0 ctx reqs, 1 gen reqs   PushPop                373220                 803992                1       373220.0       373220.0         373220         373220               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 32: 0 ctx reqs, 1 gen reqs   PushPop                372484                 832543                1       372484.0       372484.0         372484         372484               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 31: 0 ctx reqs, 1 gen reqs   PushPop                355940                 836742                1       355940.0       355940.0         355940         355940               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 80: 0 ctx reqs, 1 gen reqs   PushPop                353828                 797053                1       353828.0       353828.0         353828         353828               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 69: 0 ctx reqs, 1 gen reqs   PushPop                353604                 791443                1       353604.0       353604.0         353604         353604               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 78: 0 ctx reqs, 1 gen reqs   PushPop                351876                 796342                1       351876.0       351876.0         351876         351876               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 38: 0 ctx reqs, 1 gen reqs   PushPop                350597                 823062                1       350597.0       350597.0         350597         350597               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 99: 0 ctx reqs, 1 gen reqs   PushPop                343460                 812023                1       343460.0       343460.0         343460         343460               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 45: 0 ctx reqs, 1 gen reqs   PushPop                341700                 823373                1       341700.0       341700.0         341700         341700               0.0             13         13.0            0.0            1.0
