
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                Range                              
 --------  ---------------  ---------  ----------  ---------  --------  ----------  -----------  -----------------------------------------------------------------
     83.4      11665138798        217  53756400.0  6781967.0   4958773  4592812350  434054382.5  TensorRT-LLM:_forward_step                                       
      3.8        536846129        111   4836451.6    49959.0     35130   414888116   40426361.8  TensorRT-LLM:_fetch_new_requests                                 
      2.8        396995362        102   3892111.4  2715429.5   2654285   116586018   11271231.2  TensorRT-LLM:_sample_async                                       
      2.8        394134005        102   3864058.9  2688364.5   2627665   116533098   11268701.9  TensorRT-LLM:sample_async                                        
      2.1        294007916        102   2882430.5  1900692.5   1843593   100231101    9734812.0  TensorRT-LLM:_process_requests                                   
      1.8        256180353        102   2511572.1  1545136.0   1494776    99392309    9687716.1  TensorRT-LLM:sample_batched_by_strategy                          
      1.2        170493602        308    553550.7   518555.5    370226     1323638     131100.2  TensorRT-LLM:_prepare_inputs                                     
      0.3         37224593        102    364947.0   222898.0    211828    14249146    1388406.0  TensorRT-LLM:maybe_create_beam_histories                         
      0.2         30758394        102    301552.9   296072.5    286747      656114      36406.1  TensorRT-LLM:_write_finish_reasons                               
      0.1         15185982        102    148882.2   144103.5     44999      295598      50802.6  TensorRT-LLM:prepare_resources                                   
      0.1         14085298          2   7042649.0  7042649.0   6820026     7265272     314836.5  TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs  
      0.1         12079082        102    118422.4    77064.0     75039      928091     162258.0  TensorRT-LLM:_update_requests                                    
      0.1         11843276        102    116110.5    75019.0     73019      921731     161940.1  TensorRT-LLM:update_requests                                     
      0.1          7964534        102     78083.7    76800.0     75330       89919       3315.4  TensorRT-LLM:update_original_tokens                              
      0.0          6523098          1   6523098.0  6523098.0   6523098     6523098          0.0  TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs  
      0.0          6063031        102     59441.5    52640.0     31540      392276      44375.1  TensorRT-LLM:_handle_responses                                   
      0.0          5674697          1   5674697.0  5674697.0   5674697     5674697          0.0  TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs 
      0.0          5631277          1   5631277.0  5631277.0   5631277     5631277          0.0  TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs 
      0.0          5619908          1   5619908.0  5619908.0   5619908     5619908          0.0  TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs 
      0.0          5556278          1   5556278.0  5556278.0   5556278     5556278          0.0  TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs 
      0.0          5372416        102     52670.7     1535.0      1280     1024451     191480.6  TensorRT-LLM:setup_sampler_step                                  
      0.0          4723322        220     21469.6    20275.0     12760       98429       6183.0  CCCL:cub::DeviceScan::InclusiveScan                              
      0.0          3520136          7    502876.6   491245.0    477555      586165      38301.0  TensorRT-LLM:setup.prepare_beam_search                           
      0.0          3500027          7    500003.9   489075.0    474616      582065      37676.9  TensorRT-LLM:prepare_beam_search                                 
      0.0          2805912        204     13754.5    13885.0     11570       84309       5185.2  CCCL:cub::DeviceScan::InclusiveSumByKey                          
      0.0          2173102        109     19936.7    20910.0     12179       40800       4256.0  TensorRT-LLM:_enqueue_responses                                  
      0.0          2035363       6144       331.3      190.0       160      234918       5066.0  TensorRT-LLM:wait_on_pp_send_handles                             
      0.0          1710626        109     15693.8    13599.0     12600       99799      10890.9  TensorRT-LLM:_schedule                                           
      0.0          1328755        102     13027.0     6715.0      5480      249177      31849.9  TensorRT-LLM:update_resources                                    
      0.0          1128791        111     10169.3     1400.0      1160      190269      34452.1  TensorRT-LLM:merge_requests                                      
      0.0           954311          1    954311.0   954311.0    954311      954311          0.0  TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs  
      0.0           919632          7    131376.0   109919.0    100569      282328      66771.6  TensorRT-LLM:setup.finish_reasons.update                         
      0.0           912082          1    912082.0   912082.0    912082      912082          0.0  TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs  
      0.0           836742          1    836742.0   836742.0    836742      836742          0.0  TensorRT-LLM:[Executor] _forward_step 31: 0 ctx reqs, 1 gen reqs 
      0.0           832543          1    832543.0   832543.0    832543      832543          0.0  TensorRT-LLM:[Executor] _forward_step 32: 0 ctx reqs, 1 gen reqs 
      0.0           829182          1    829182.0   829182.0    829182      829182          0.0  TensorRT-LLM:[Executor] _forward_step 61: 0 ctx reqs, 1 gen reqs 
