
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

                               Range                                 Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 -----------------------------------------------------------------  -------  --------------------  ---------------------  ---------------  -------------  -------------  -------------  -------------  ----------------  -------------  -----------  -------------  -------------
 TensorRT-LLM:_forward_step                                         PushPop            7041357253            14056265942              215     32750498.9      5516345.0        4251372     4051005249       278558268.4          28490        132.5            0.0            0.0
 TensorRT-LLM:_sample_async                                         PushPop             166321299              399114720              102      1630601.0       295651.0         287523      117394517        11599604.2          10484        102.8            0.0            1.0
 TensorRT-LLM:sample_async                                          PushPop             166321299              396302839              102      1630601.0       295651.0         287523      117394517        11599604.2          10484        102.8            1.0            4.1
 TensorRT-LLM:_process_requests                                     PushPop             128753587              296158261              102      1262290.1       199554.0         193826      100396582         9918290.1           7038         69.0            2.0            1.0
 TensorRT-LLM:sample_batched_by_strategy                            PushPop             125742418              258954035              102      1232768.8       188034.0         186562       99881217         9868090.9           6732         66.0            3.0            0.0
 TensorRT-LLM:_prepare_inputs                                       PushPop              87152469              168772265              308       282962.6       297523.0          22752         660038          125503.9           2329          7.6            0.3            0.0
 TensorRT-LLM:maybe_create_beam_histories                           PushPop              18617725               37365514              102       182526.7        32737.0          27169       14190706         1401220.9            918          9.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs    PushPop              13758990               14112825                2      6879495.0      6879495.0        6747814        7011176          186225.1            160         80.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs    PushPop               6679652                6689956                1      6679652.0      6679652.0        6679652        6679652               0.0             79         79.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs   PushPop               5433113                5416591                1      5433113.0      5433113.0        5433113        5433113               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs   PushPop               5403801                5395911                1      5403801.0      5403801.0        5403801        5403801               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:_write_finish_reasons                                 PushPop               5383732               30826867              102        52781.7        33008.5          32800         589894           78706.9           1530         15.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs   PushPop               5376248                5357271                1      5376248.0      5376248.0        5376248        5376248               0.0             79         79.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs   PushPop               5312119                5293292                1      5312119.0      5312119.0        5312119        5312119               0.0             81         81.0            0.0            2.0
 TensorRT-LLM:setup_sampler_step                                    PushPop               4376366                5015086                7       625195.1       580326.0         573062         859849          104584.7            182         26.0            2.0            3.0
 TensorRT-LLM:prepare_beam_search                                   PushPop               3012001                3282775                7       430285.9       416261.0         407364         498501           32336.1            147         21.0            4.0            7.0
 TensorRT-LLM:setup.prepare_beam_search                             PushPop               3012001                3309234                7       430285.9       416261.0         407364         498501           32336.1            147         21.0            3.0            1.0
 CCCL:cub::DeviceScan::InclusiveScan                                PushPop               1448173                4823951              218         6643.0         3233.0           3008          59808            5731.5            436          2.0            0.0            0.0
 CCCL:cub::DeviceScan::InclusiveSumByKey                            PushPop                946631                2890240              204         4640.3         4128.0           3936          60609            4115.2            408          2.0            0.0            0.0
 TensorRT-LLM:update_original_tokens                                PushPop                908430                7940032              102         8906.2         6273.0           6208          51584            9663.9            306          3.0            2.0            0.0
 TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs    PushPop                631078                 944550                1       631078.0       631078.0         631078         631078               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 24: 0 ctx reqs, 1 gen reqs   PushPop                582502                 830561                1       582502.0       582502.0         582502         582502               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 85: 0 ctx reqs, 1 gen reqs   PushPop                552741                 787911                1       552741.0       552741.0         552741         552741               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 64: 0 ctx reqs, 1 gen reqs   PushPop                548517                 787701                1       548517.0       548517.0         548517         548517               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 43: 0 ctx reqs, 1 gen reqs   PushPop                543782                 787861                1       543782.0       543782.0         543782         543782               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 22: 0 ctx reqs, 1 gen reqs   PushPop                541893                 787311                1       541893.0       541893.0         541893         541893               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 19: 0 ctx reqs, 1 gen reqs   PushPop                541445                 779202                1       541445.0       541445.0         541445         541445               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 23: 0 ctx reqs, 1 gen reqs   PushPop                502469                 929449                1       502469.0       502469.0         502469         502469               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:setup.finish_reasons.update                           PushPop                473190                 918260                7        67598.6        49024.0          47648         176194           47927.3             28          4.0            3.0            0.0
 TensorRT-LLM:[Executor] _forward_step 48: 0 ctx reqs, 1 gen reqs   PushPop                425061                 801022                1       425061.0       425061.0         425061         425061               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs    PushPop                390660                 835511                1       390660.0       390660.0         390660         390660               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 25: 0 ctx reqs, 1 gen reqs   PushPop                381220                 797691                1       381220.0       381220.0         381220         381220               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 73: 0 ctx reqs, 1 gen reqs   PushPop                334595                 813611                1       334595.0       334595.0         334595         334595               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 61: 0 ctx reqs, 1 gen reqs   PushPop                328451                 805301                1       328451.0       328451.0         328451         328451               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 47: 0 ctx reqs, 1 gen reqs   PushPop                320772                 867450                1       320772.0       320772.0         320772         320772               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 27: 0 ctx reqs, 1 gen reqs   PushPop                305507                 819131                1       305507.0       305507.0         305507         305507               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 51: 0 ctx reqs, 1 gen reqs   PushPop                304899                 800761                1       304899.0       304899.0         304899         304899               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 53: 0 ctx reqs, 1 gen reqs   PushPop                301859                 795071                1       301859.0       301859.0         301859         301859               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 54: 0 ctx reqs, 1 gen reqs   PushPop                300899                 809671                1       300899.0       300899.0         300899         300899               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 28: 0 ctx reqs, 1 gen reqs   PushPop                298243                 789511                1       298243.0       298243.0         298243         298243               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 67: 0 ctx reqs, 1 gen reqs   PushPop                297892                 805091                1       297892.0       297892.0         297892         297892               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:pbs.cache_indirection_zero                            PushPop                295910                 541604                7        42272.9        39233.0          38177          59713            7756.4             21          3.0            5.0            0.0
 TensorRT-LLM:[Executor] _forward_step 31: 0 ctx reqs, 1 gen reqs   PushPop                290275                 805822                1       290275.0       290275.0         290275         290275               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 39: 0 ctx reqs, 1 gen reqs   PushPop                288611                 811691                1       288611.0       288611.0         288611         288611               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 59: 0 ctx reqs, 1 gen reqs   PushPop                286723                 815462                1       286723.0       286723.0         286723         286723               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 74: 0 ctx reqs, 1 gen reqs   PushPop                286371                 803031                1       286371.0       286371.0         286371         286371               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 76: 0 ctx reqs, 1 gen reqs   PushPop                285635                 801141                1       285635.0       285635.0         285635         285635               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 94: 0 ctx reqs, 1 gen reqs   PushPop                282083                 811671                1       282083.0       282083.0         282083         282083               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 72: 0 ctx reqs, 1 gen reqs   PushPop                281987                 793351                1       281987.0       281987.0         281987         281987               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 49: 0 ctx reqs, 1 gen reqs   PushPop                281411                 814701                1       281411.0       281411.0         281411         281411               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 87: 0 ctx reqs, 1 gen reqs   PushPop                280067                 793772                1       280067.0       280067.0         280067         280067               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 58: 0 ctx reqs, 1 gen reqs   PushPop                278851                 809771                1       278851.0       278851.0         278851         278851               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 89: 0 ctx reqs, 1 gen reqs   PushPop                275427                 812362                1       275427.0       275427.0         275427         275427               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 69: 0 ctx reqs, 1 gen reqs   PushPop                275331                 803091                1       275331.0       275331.0         275331         275331               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 97: 0 ctx reqs, 1 gen reqs   PushPop                275011                 817081                1       275011.0       275011.0         275011         275011               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 37: 0 ctx reqs, 1 gen reqs   PushPop                273699                 793151                1       273699.0       273699.0         273699         273699               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 96: 0 ctx reqs, 1 gen reqs   PushPop                273603                 786391                1       273603.0       273603.0         273603         273603               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 55: 0 ctx reqs, 1 gen reqs   PushPop                272739                 802661                1       272739.0       272739.0         272739         272739               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 32: 0 ctx reqs, 1 gen reqs   PushPop                271875                 801371                1       271875.0       271875.0         271875         271875               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 102: 0 ctx reqs, 1 gen reqs  PushPop                268578                 813141                1       268578.0       268578.0         268578         268578               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 50: 0 ctx reqs, 1 gen reqs   PushPop                266050                 817631                1       266050.0       266050.0         266050         266050               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 29: 0 ctx reqs, 1 gen reqs   PushPop                265538                 798331                1       265538.0       265538.0         265538         265538               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 60: 0 ctx reqs, 1 gen reqs   PushPop                262690                 792051                1       262690.0       262690.0         262690         262690               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 65: 0 ctx reqs, 1 gen reqs   PushPop                259843                 808272                1       259843.0       259843.0         259843         259843               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 33: 0 ctx reqs, 1 gen reqs   PushPop                258819                 808371                1       258819.0       258819.0         258819         258819               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 66: 0 ctx reqs, 1 gen reqs   PushPop                257123                 822871                1       257123.0       257123.0         257123         257123               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 71: 0 ctx reqs, 1 gen reqs   PushPop                256963                 799331                1       256963.0       256963.0         256963         256963               0.0             13         13.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 70: 0 ctx reqs, 1 gen reqs   PushPop                255490                 796721                1       255490.0       255490.0         255490         255490               0.0             13         13.0            0.0            1.0
