Generating SQLite file nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite from nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.nsys-rep
Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v2/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
85.8,14091138331,217,64936121.3,6698687.0,4705019,6970047205,563962925.9,TensorRT-LLM:_forward_step
3.3,537976736,111,4846637.3,44699.0,42109,414334847,40382453.3,TensorRT-LLM:_fetch_new_requests
2.4,399114720,102,3912889.4,2727420.0,2668191,117678532,11378261.2,TensorRT-LLM:_sample_async
2.4,396302839,102,3885322.0,2700800.5,2641931,117625023,11375620.3,TensorRT-LLM:sample_async
1.8,296158261,102,2903512.4,1912544.0,1852310,101375250,9847125.2,TensorRT-LLM:_process_requests
1.6,258954035,102,2538765.0,1554988.0,1498333,100543520,9800324.5,TensorRT-LLM:sample_batched_by_strategy
1.0,168772265,308,547961.9,501114.5,378186,976540,119748.5,TensorRT-LLM:_prepare_inputs
0.2,37365514,102,366328.6,224863.0,215167,14256004,1388938.4,TensorRT-LLM:maybe_create_beam_histories
0.2,30826867,102,302224.2,296547.0,289527,628743,33512.3,TensorRT-LLM:_write_finish_reasons
0.1,17279438,102,169406.3,122313.5,44690,3991916,384606.4,TensorRT-LLM:prepare_resources
0.1,14112825,2,7056412.5,7056412.5,6930144,7182681,178570.6,"TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs"
0.1,12192289,102,119532.2,76869.0,75119,909320,164029.5,TensorRT-LLM:_update_requests
0.1,11982400,102,117474.5,74874.0,72999,907840,164108.5,TensorRT-LLM:update_requests
0.1,9322743,102,91399.4,49129.5,29840,3648620,358431.7,TensorRT-LLM:_handle_responses
0.0,7940032,102,77843.5,76699.0,74999,94089,3611.0,TensorRT-LLM:update_original_tokens
0.0,6689956,1,6689956.0,6689956.0,6689956,6689956,0.0,"TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs"
0.0,6627228,109,60800.3,13039.0,12189,5067324,484045.8,TensorRT-LLM:_schedule
0.0,5416591,1,5416591.0,5416591.0,5416591,5416591,0.0,"TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs"
0.0,5395911,1,5395911.0,5395911.0,5395911,5395911,0.0,"TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs"
0.0,5357271,1,5357271.0,5357271.0,5357271,5357271,0.0,"TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs"
0.0,5293292,1,5293292.0,5293292.0,5293292,5293292,0.0,"TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs"
0.0,5155103,102,50540.2,1470.0,1190,982880,183972.8,TensorRT-LLM:setup_sampler_step
0.0,4855990,220,22072.7,20724.5,13379,100639,6584.4,CCCL:cub::DeviceScan::InclusiveScan
0.0,3309234,7,472747.7,459335.0,446545,550164,36480.0,TensorRT-LLM:setup.prepare_beam_search
0.0,3282775,7,468967.9,452485.0,444075,545694,36081.5,TensorRT-LLM:prepare_beam_search
0.0,2890240,204,14167.8,13835.0,11890,87959,5565.9,CCCL:cub::DeviceScan::InclusiveSumByKey
0.0,2009642,109,18437.1,19140.0,11360,48580,4921.6,TensorRT-LLM:_enqueue_responses
0.0,1800998,6144,293.1,180.0,160,216717,3897.5,TensorRT-LLM:wait_on_pp_send_handles
0.0,1302387,102,12768.5,6440.0,4670,168608,25628.5,TensorRT-LLM:update_resources
0.0,1182668,111,10654.7,1400.0,1190,192838,36775.8,TensorRT-LLM:merge_requests
0.0,944550,1,944550.0,944550.0,944550,944550,0.0,"TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs"
0.0,929449,1,929449.0,929449.0,929449,929449,0.0,"TensorRT-LLM:[Executor] _forward_step 23: 0 ctx reqs, 1 gen reqs"
0.0,918260,7,131180.0,110089.0,101259,276497,64324.2,TensorRT-LLM:setup.finish_reasons.update
0.0,867450,1,867450.0,867450.0,867450,867450,0.0,"TensorRT-LLM:[Executor] _forward_step 47: 0 ctx reqs, 1 gen reqs"
0.0,835511,1,835511.0,835511.0,835511,835511,0.0,"TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs"
0.0,830561,1,830561.0,830561.0,830561,830561,0.0,"TensorRT-LLM:[Executor] _forward_step 24: 0 ctx reqs, 1 gen reqs"
0.0,822871,1,822871.0,822871.0,822871,822871,0.0,"TensorRT-LLM:[Executor] _forward_step 66: 0 ctx reqs, 1 gen reqs"
0.0,819131,1,819131.0,819131.0,819131,819131,0.0,"TensorRT-LLM:[Executor] _forward_step 27: 0 ctx reqs, 1 gen reqs"
0.0,818751,1,818751.0,818751.0,818751,818751,0.0,"TensorRT-LLM:[Executor] _forward_step 40: 0 ctx reqs, 1 gen reqs"
0.0,817631,1,817631.0,817631.0,817631,817631,0.0,"TensorRT-LLM:[Executor] _forward_step 50: 0 ctx reqs, 1 gen reqs"
0.0,817502,1,817502.0,817502.0,817502,817502,0.0,"TensorRT-LLM:[Executor] _forward_step 35: 0 ctx reqs, 1 gen reqs"
0.0,817081,1,817081.0,817081.0,817081,817081,0.0,"TensorRT-LLM:[Executor] _forward_step 97: 0 ctx reqs, 1 gen reqs"
0.0,816511,1,816511.0,816511.0,816511,816511,0.0,"TensorRT-LLM:[Executor] _forward_step 45: 0 ctx reqs, 1 gen reqs"
0.0,815462,1,815462.0,815462.0,815462,815462,0.0,"TensorRT-LLM:[Executor] _forward_step 59: 0 ctx reqs, 1 gen reqs"
0.0,814701,1,814701.0,814701.0,814701,814701,0.0,"TensorRT-LLM:[Executor] _forward_step 49: 0 ctx reqs, 1 gen reqs"
0.0,813611,1,813611.0,813611.0,813611,813611,0.0,"TensorRT-LLM:[Executor] _forward_step 73: 0 ctx reqs, 1 gen reqs"
0.0,813141,1,813141.0,813141.0,813141,813141,0.0,"TensorRT-LLM:[Executor] _forward_step 102: 0 ctx reqs, 1 gen reqs"
0.0,813041,1,813041.0,813041.0,813041,813041,0.0,"TensorRT-LLM:[Executor] _forward_step 3: 0 ctx reqs, 1 gen reqs"
0.0,812362,1,812362.0,812362.0,812362,812362,0.0,"TensorRT-LLM:[Executor] _forward_step 89: 0 ctx reqs, 1 gen reqs"
0.0,811691,1,811691.0,811691.0,811691,811691,0.0,"TensorRT-LLM:[Executor] _forward_step 39: 0 ctx reqs, 1 gen reqs"
0.0,811671,1,811671.0,811671.0,811671,811671,0.0,"TensorRT-LLM:[Executor] _forward_step 94: 0 ctx reqs, 1 gen reqs"
0.0,811201,1,811201.0,811201.0,811201,811201,0.0,"TensorRT-LLM:[Executor] _forward_step 30: 0 ctx reqs, 1 gen reqs"
0.0,809771,1,809771.0,809771.0,809771,809771,0.0,"TensorRT-LLM:[Executor] _forward_step 58: 0 ctx reqs, 1 gen reqs"
0.0,809671,1,809671.0,809671.0,809671,809671,0.0,"TensorRT-LLM:[Executor] _forward_step 54: 0 ctx reqs, 1 gen reqs"
