
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v3/pyt_beam10_handoff.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v3/pyt_beam10_handoff.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v3/pyt_beam10_handoff.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)   Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                                Range                              
 --------  ---------------  ---------  ----------  ---------  --------  ----------  -----------  -----------------------------------------------------------------
     83.3      11799932877        217  54377570.9  6865061.0   5279957  4664596384  440284610.2  TensorRT-LLM:_forward_step                                       
      3.8        540698090        111   4871154.0    57669.0     40080   414664258   40410308.8  TensorRT-LLM:_fetch_new_requests                                 
      2.9        407999409        102   3999994.2  2879221.0   2675443   117458646   11346545.1  TensorRT-LLM:_sample_async                                       
      2.9        405087889        102   3971449.9  2852841.0   2649483   117405286   11344021.4  TensorRT-LLM:sample_async                                        
      2.1        303069117        102   2971265.9  1994505.0   1873881   101510046    9853767.4  TensorRT-LLM:_process_requests                                   
      1.9        264590743        102   2594026.9  1621424.0   1517545   100682694    9808645.3  TensorRT-LLM:sample_batched_by_strategy                          
      1.2        173476318        308    563234.8   503475.0    389446     1079659     132412.9  TensorRT-LLM:_prepare_inputs                                     
      0.3         38551105        102    377952.0   238472.5    209418    14186607    1380928.4  TensorRT-LLM:maybe_create_beam_histories                         
      0.2         32043882        102    314155.7   315012.0    280647      571434      31252.8  TensorRT-LLM:_write_finish_reasons                               
      0.1         16103725        102    157879.7   156519.0     50480      316367      49211.1  TensorRT-LLM:prepare_resources                                   
      0.1         14283856          2   7141928.0  7141928.0   6816241     7467615     460591.0  TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs  
      0.1         11567132        102    113403.3    80909.0     75219      741382     123589.4  TensorRT-LLM:_update_requests                                    
      0.1         11369312        102    111463.8    79024.5     73499      739602     123563.2  TensorRT-LLM:update_requests                                     
      0.1          8435731        102     82703.2    80104.5     73289      127529      10344.1  TensorRT-LLM:update_original_tokens                              
      0.0          6751232          1   6751232.0  6751232.0   6751232     6751232          0.0  TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs  
      0.0          6464222        102     63374.7    53174.5     31220      407196      52874.1  TensorRT-LLM:_handle_responses                                   
