
NOTICE: Existing SQLite export found: nvbugs_5615248/trtllm_bench/nsys_handoff_v4/pyt_beam10_handoff_v4.sqlite
        It is assumed file was previously exported from: nvbugs_5615248/trtllm_bench/nsys_handoff_v4/pyt_beam10_handoff_v4.nsys-rep
        Consider using --force-export=true if needed.

Processing [nvbugs_5615248/trtllm_bench/nsys_handoff_v4/pyt_beam10_handoff_v4.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
81.0,11842522283,219,54075444.2,6793194.0,4567889,4664466640,439815783.4,TensorRT-LLM:_forward_step
3.6,528111882,153,3451711.6,50790.0,38190,414441744,34415154.2,TensorRT-LLM:_fetch_new_requests
3.5,506183360,142,3564671.5,2716801.5,2660691,117862051,9660675.4,TensorRT-LLM:_sample_async
3.4,502261022,142,3537049.5,2690176.5,2635022,117806001,9658244.4,TensorRT-LLM:sample_async
2.5,372195734,142,2621096.7,1903312.0,1847108,101742931,8377504.6,TensorRT-LLM:_process_requests
2.2,320545701,142,2257364.1,1545760.0,1488080,100883368,8335525.0,TensorRT-LLM:sample_batched_by_strategy
1.3,192900760,348,554312.5,568116.0,371437,1290451,117847.2,TensorRT-LLM:_prepare_inputs
0.3,46619291,142,328304.9,225414.0,211578,14359721,1185877.2,TensorRT-LLM:maybe_create_beam_histories
0.3,42244220,142,297494.5,293053.0,285818,578626,24857.7,TensorRT-LLM:_write_finish_reasons
0.2,23213117,142,163472.7,151884.0,68260,328048,55315.3,TensorRT-LLM:prepare_resources
0.1,16799219,142,118304.4,77795.0,76109,901224,156835.0,TensorRT-LLM:_update_requests
0.1,16476679,142,116033.0,75715.0,74200,894954,156618.7,TensorRT-LLM:update_requests
0.1,13124340,2,6562170.0,6562170.0,5928209,7196131,896556.2,"TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs"
0.1,11063065,142,77908.9,76724.5,74980,93190,3306.9,TensorRT-LLM:update_original_tokens
0.1,8498195,142,59846.4,52490.0,48210,201388,27661.7,TensorRT-LLM:_handle_responses
0.0,6577715,1,6577715.0,6577715.0,6577715,6577715,0.0,"TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs"
0.0,5465633,1,5465633.0,5465633.0,5465633,5465633,0.0,"TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs"
0.0,5286654,1,5286654.0,5286654.0,5286654,5286654,0.0,"TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs"
0.0,5252784,1,5252784.0,5252784.0,5252784,5252784,0.0,"TensorRT-LLM:[Executor] _forward_step 126: 1 ctx reqs, 0 gen reqs"
0.0,5199654,1,5199654.0,5199654.0,5199654,5199654,0.0,"TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs"
0.0,5195714,1,5195714.0,5195714.0,5195714,5195714,0.0,"TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs"
0.0,5141515,1,5141515.0,5141515.0,5141515,5141515,0.0,"TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs"
0.0,4633716,222,20872.6,18300.0,11600,101139,6883.3,CCCL:cub::DeviceScan::InclusiveScan
0.0,3892308,284,13705.3,13710.0,11560,87629,4761.8,CCCL:cub::DeviceScan::InclusiveSumByKey
0.0,3623365,142,25516.7,1470.0,1170,735925,98220.7,TensorRT-LLM:setup_sampler_step
0.0,3275092,151,21689.4,21350.0,16320,39049,2596.3,TensorRT-LLM:_enqueue_responses
0.0,2538237,142,17874.9,6735.0,5150,517936,56576.4,TensorRT-LLM:update_resources
0.0,2212675,151,14653.5,13170.0,12190,99419,8579.7,TensorRT-LLM:_schedule
0.0,1895192,6144,308.5,180.0,160,224539,4740.0,TensorRT-LLM:wait_on_pp_send_handles
0.0,1522199,1,1522199.0,1522199.0,1522199,1522199,0.0,"TensorRT-LLM:[Executor] _forward_step 18: 0 ctx reqs, 1 gen reqs"
0.0,1470580,9,163397.8,137889.0,134639,327318,62349.3,TensorRT-LLM:setup.prepare_beam_search
0.0,1439301,9,159922.3,135879.0,132739,323288,61772.7,TensorRT-LLM:prepare_beam_search
0.0,1242262,153,8119.4,1390.0,1170,183439,27445.9,TensorRT-LLM:merge_requests
0.0,975723,1,975723.0,975723.0,975723,975723,0.0,"TensorRT-LLM:[Executor] _forward_step 116: 0 ctx reqs, 1 gen reqs"
0.0,933894,1,933894.0,933894.0,933894,933894,0.0,"TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs"
0.0,900263,1,900263.0,900263.0,900263,900263,0.0,"TensorRT-LLM:[Executor] _forward_step 115: 0 ctx reqs, 1 gen reqs"
0.0,845464,1,845464.0,845464.0,845464,845464,0.0,"TensorRT-LLM:[Executor] _forward_step 117: 0 ctx reqs, 1 gen reqs"
0.0,841854,1,841854.0,841854.0,841854,841854,0.0,"TensorRT-LLM:[Executor] _forward_step 118: 0 ctx reqs, 1 gen reqs"
0.0,840605,1,840605.0,840605.0,840605,840605,0.0,"TensorRT-LLM:[Executor] _forward_step 121: 0 ctx reqs, 1 gen reqs"
0.0,834964,1,834964.0,834964.0,834964,834964,0.0,"TensorRT-LLM:[Executor] _forward_step 124: 0 ctx reqs, 1 gen reqs"
0.0,832864,1,832864.0,832864.0,832864,832864,0.0,"TensorRT-LLM:[Executor] _forward_step 99: 0 ctx reqs, 1 gen reqs"
0.0,832005,1,832005.0,832005.0,832005,832005,0.0,"TensorRT-LLM:[Executor] _forward_step 119: 0 ctx reqs, 1 gen reqs"
0.0,830774,1,830774.0,830774.0,830774,830774,0.0,"TensorRT-LLM:[Executor] _forward_step 32: 0 ctx reqs, 1 gen reqs"
0.0,830494,1,830494.0,830494.0,830494,830494,0.0,"TensorRT-LLM:[Executor] _forward_step 123: 0 ctx reqs, 1 gen reqs"
0.0,827634,1,827634.0,827634.0,827634,827634,0.0,"TensorRT-LLM:[Executor] _forward_step 131: 0 ctx reqs, 1 gen reqs"
0.0,826015,1,826015.0,826015.0,826015,826015,0.0,"TensorRT-LLM:[Executor] _forward_step 46: 0 ctx reqs, 1 gen reqs"
0.0,824634,1,824634.0,824634.0,824634,824634,0.0,"TensorRT-LLM:[Executor] _forward_step 140: 0 ctx reqs, 1 gen reqs"
0.0,824485,1,824485.0,824485.0,824485,824485,0.0,"TensorRT-LLM:[Executor] _forward_step 23: 0 ctx reqs, 1 gen reqs"
0.0,824304,1,824304.0,824304.0,824304,824304,0.0,"TensorRT-LLM:[Executor] _forward_step 53: 0 ctx reqs, 1 gen reqs"
0.0,823124,1,823124.0,823124.0,823124,823124,0.0,"TensorRT-LLM:[Executor] _forward_step 75: 0 ctx reqs, 1 gen reqs"
0.0,822785,1,822785.0,822785.0,822785,822785,0.0,"TensorRT-LLM:[Executor] _forward_step 120: 0 ctx reqs, 1 gen reqs"
0.0,822585,1,822585.0,822585.0,822585,822585,0.0,"TensorRT-LLM:[Executor] _forward_step 133: 0 ctx reqs, 1 gen reqs"
0.0,821334,1,821334.0,821334.0,821334,821334,0.0,"TensorRT-LLM:[Executor] _forward_step 27: 0 ctx reqs, 1 gen reqs"
0.0,821135,1,821135.0,821135.0,821135,821135,0.0,"TensorRT-LLM:[Executor] _forward_step 34: 0 ctx reqs, 1 gen reqs"
0.0,820634,1,820634.0,820634.0,820634,820634,0.0,"TensorRT-LLM:[Executor] _forward_step 59: 0 ctx reqs, 1 gen reqs"
0.0,820534,1,820534.0,820534.0,820534,820534,0.0,"TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs"
0.0,820374,1,820374.0,820374.0,820374,820374,0.0,"TensorRT-LLM:[Executor] _forward_step 93: 0 ctx reqs, 1 gen reqs"
0.0,820325,1,820325.0,820325.0,820325,820325,0.0,"TensorRT-LLM:[Executor] _forward_step 111: 0 ctx reqs, 1 gen reqs"
