
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.1,29113530,5556,5240.0,4770.0,2770,29470,2085.3,cudaLaunchKernel
24.6,16254162,126,129001.3,25900.0,18269,397498,118679.1,cudaGraphLaunch
16.3,10772293,1380,7806.0,7205.0,3890,25880,2581.5,cudaMemcpyAsync
3.6,2372600,1288,1842.1,1420.0,480,12110,1050.1,cudaEventQuery
2.9,1932601,60,32210.0,3735.0,3410,714677,125736.7,cudaEventSynchronize
2.4,1571186,1029,1526.9,1560.0,590,7190,950.2,cudaEventRecordWithFlags
1.4,934824,5556,168.3,160.0,90,11820,168.4,cuKernelGetName
1.0,659665,1275,517.4,530.0,250,13350,520.0,cudaStreamIsCapturing
0.9,569458,420,1355.9,1470.0,350,26210,1367.2,cudaEventCreateWithFlags
0.7,453685,360,1260.2,1185.0,480,11180,819.5,cudaStreamWaitEvent
0.7,434220,120,3618.5,3610.0,2180,8640,1347.8,cudaMemsetAsync
0.5,336468,240,1402.0,1145.0,580,18930,1473.5,cudaEventRecord
0.4,282549,66,4281.0,4035.0,3780,10170,999.5,cudaLaunchKernelExC
0.4,241808,420,575.7,550.0,260,2090,217.2,cudaEventDestroy
0.1,38700,1,38700.0,38700.0,38700,38700,0.0,cudaDeviceSynchronize
0.0,14630,1,14630.0,14630.0,14630,14630,0.0,cuProfilerStart

