
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 

 ** NVTX GPU Projection Summary (nvtx_gpu_proj_sum):

                               Range                                 Style   Total Proj Time (ns)  Total Range Time (ns)  Range Instances  Proj Avg (ns)  Proj Med (ns)  Proj Min (ns)  Proj Max (ns)  Proj StdDev (ns)  Total GPU Ops  Avg GPU Ops  Avg Range Lvl  Avg Num Child
 -----------------------------------------------------------------  -------  --------------------  ---------------------  ---------------  -------------  -------------  -------------  -------------  ----------------  -------------  -----------  -------------  -------------
 TensorRT-LLM:_sample_async                                         PushPop              26683773              161676933               60       444729.5       294338.0         286337        3568785          651304.3           6138        102.3            0.0            1.0
 TensorRT-LLM:sample_async                                          PushPop              26683773              160093190               60       444729.5       294338.0         286337        3568785          651304.3           6138        102.3            1.0            4.0
 TensorRT-LLM:_process_requests                                     PushPop              15897710              112526407               60       264961.8       198337.0         192481        1706216          296841.1           4140         69.0            2.0            1.0
 TensorRT-LLM:_prepare_inputs                                       PushPop              15269196               34998172               60       254486.6       233169.0         142528         591811           80890.4            651         10.8            1.0            0.0
 TensorRT-LLM:sample_batched_by_strategy                            PushPop              14571559               91395844               60       242859.3       187121.0         185857        1443686          246278.9           3960         66.0            3.0            0.0
 TensorRT-LLM:_forward_step                                         PushPop              14091044               16072161                3      4697014.7      4527286.0        4523702        5040056          297087.9            288         96.0            1.0            0.0
 TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs   PushPop               6736416                6872381                1      6736416.0      6736416.0        6736416        6736416               0.0            104        104.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs   PushPop               5650715                5643215                1      5650715.0      5650715.0        5650715        5650715               0.0            104        104.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs  PushPop               5599643                5580976                1      5599643.0      5599643.0        5599643        5599643               0.0            104        104.0            0.0            2.0
 TensorRT-LLM:[Executor] _forward_step 65: 0 ctx reqs, 1 gen reqs   PushPop               4272084                 945416                1      4272084.0      4272084.0        4272084        4272084               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 64: 0 ctx reqs, 1 gen reqs   PushPop               4267540                1094425                1      4267540.0      4267540.0        4267540        4267540               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 106: 0 ctx reqs, 1 gen reqs  PushPop               4261524                 950385                1      4261524.0      4261524.0        4261524        4261524               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 85: 0 ctx reqs, 1 gen reqs   PushPop               4257012                 941806                1      4257012.0      4257012.0        4257012        4257012               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 109: 0 ctx reqs, 1 gen reqs  PushPop               4114099                 958486                1      4114099.0      4114099.0        4114099        4114099               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 75: 0 ctx reqs, 1 gen reqs   PushPop               4113492                 941576                1      4113492.0      4113492.0        4113492        4113492               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 124: 0 ctx reqs, 1 gen reqs  PushPop               4112884                 944266                1      4112884.0      4112884.0        4112884        4112884               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 111: 0 ctx reqs, 1 gen reqs  PushPop               4104499                 961866                1      4104499.0      4104499.0        4104499        4104499               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 71: 0 ctx reqs, 1 gen reqs   PushPop               4103988                 945936                1      4103988.0      4103988.0        4103988        4103988               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 100: 0 ctx reqs, 1 gen reqs  PushPop               4103028                 952196                1      4103028.0      4103028.0        4103028        4103028               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 103: 0 ctx reqs, 1 gen reqs  PushPop               4096020                 960406                1      4096020.0      4096020.0        4096020        4096020               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 113: 0 ctx reqs, 1 gen reqs  PushPop               4093652                 952976                1      4093652.0      4093652.0        4093652        4093652               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 108: 0 ctx reqs, 1 gen reqs  PushPop               4092083                 966846                1      4092083.0      4092083.0        4092083        4092083               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 81: 0 ctx reqs, 1 gen reqs   PushPop               4091251                 944916                1      4091251.0      4091251.0        4091251        4091251               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 98: 0 ctx reqs, 1 gen reqs   PushPop               4090868                 966396                1      4090868.0      4090868.0        4090868        4090868               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 117: 0 ctx reqs, 1 gen reqs  PushPop               4089364                 954356                1      4089364.0      4089364.0        4089364        4089364               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 68: 0 ctx reqs, 1 gen reqs   PushPop               4087572                 947276                1      4087572.0      4087572.0        4087572        4087572               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 120: 0 ctx reqs, 1 gen reqs  PushPop               4087187                 947526                1      4087187.0      4087187.0        4087187        4087187               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 66: 0 ctx reqs, 1 gen reqs   PushPop               4084660                 955416                1      4084660.0      4084660.0        4084660        4084660               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 70: 0 ctx reqs, 1 gen reqs   PushPop               4084500                 964696                1      4084500.0      4084500.0        4084500        4084500               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 114: 0 ctx reqs, 1 gen reqs  PushPop               4083124                 967825                1      4083124.0      4083124.0        4083124        4083124               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 78: 0 ctx reqs, 1 gen reqs   PushPop               4081427                 954486                1      4081427.0      4081427.0        4081427        4081427               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 101: 0 ctx reqs, 1 gen reqs  PushPop               4079508                 948146                1      4079508.0      4079508.0        4079508        4079508               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 116: 0 ctx reqs, 1 gen reqs  PushPop               4075028                 946416                1      4075028.0      4075028.0        4075028        4075028               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 94: 0 ctx reqs, 1 gen reqs   PushPop               4072403                 964986                1      4072403.0      4072403.0        4072403        4072403               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 72: 0 ctx reqs, 1 gen reqs   PushPop               4069524                 946725                1      4069524.0      4069524.0        4069524        4069524               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 97: 0 ctx reqs, 1 gen reqs   PushPop               4066707                 952726                1      4066707.0      4066707.0        4066707        4066707               0.0             14         14.0            0.0            1.0
 TensorRT-LLM:[Executor] _forward_step 73: 0 ctx reqs, 1 gen reqs   PushPop               4065812                 946776                1      4065812.0      4065812.0        4065812        4065812               0.0             14         14.0            0.0            1.0
