
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                Range                              
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  -----------------------------------------------------------------
     15.8        161676933         60    2694615.5    2658604.0    2607408    3739844     173305.3  TensorRT-LLM:_sample_async                                       
     15.7        160093190         60    2668219.8    2632763.5    2581898    3697944     171161.3  TensorRT-LLM:sample_async                                        
     11.0        112526407         60    1875440.1    1868342.0    1821722    2269970      53920.1  TensorRT-LLM:_process_requests                                   
     10.2        104143794          1  104143794.0  104143794.0  104143794  104143794          0.0  :pytorch_measurement_0                                           
      9.3         94563565          1   94563565.0   94563565.0   94563565   94563565          0.0  :pytorch_measurement_2                                           
      9.3         94516554          1   94516554.0   94516554.0   94516554   94516554          0.0  :pytorch_measurement_1                                           
      9.0         91395844         60    1523264.1    1520103.0    1475104    1820252      41967.2  TensorRT-LLM:sample_batched_by_strategy                          
      3.4         34998172         60     583302.9     582172.5     492777     796457      33770.4  TensorRT-LLM:_prepare_inputs                                     
      1.7         17211320         60     286855.3     283713.5     279109     322798       7855.4  TensorRT-LLM:_write_finish_reasons                               
      1.6         16072161          3    5357387.0    5068608.0    5029459    5974094     534442.5  TensorRT-LLM:_forward_step                                       
      1.3         13122235         60     218703.9     216449.0     205300     238449       6467.7  TensorRT-LLM:maybe_create_beam_histories                         
      1.3         13111184         60     218519.7     244424.0      46109     592217      99198.9  TensorRT-LLM:prepare_resources                                   
      0.7          6872381          1    6872381.0    6872381.0    6872381    6872381          0.0  TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs 
      0.7          6813383         60     113556.4      78815.0      76679     908317     148081.3  TensorRT-LLM:_update_requests                                    
      0.7          6683544         60     111392.4      76659.5      74279     906557     148175.7  TensorRT-LLM:update_requests                                     
      0.6          5716367         63      90736.0      45590.0          0    1678473     251039.8  TensorRT-LLM:_fetch_new_requests                                 
      0.6          5643215          1    5643215.0    5643215.0    5643215    5643215          0.0  TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs 
      0.5          5580976          1    5580976.0    5580976.0    5580976    5580976          0.0  TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs
      0.4          4548645         60      75810.8      74634.5      73150      88419       3453.4  TensorRT-LLM:update_original_tokens                              
      0.3          3475969         60      57932.8      51679.5      48979     189990      25074.2  TensorRT-LLM:_handle_responses                                   
      0.2          1817872         60      30297.9       1714.5       1480     600007     125735.9  TensorRT-LLM:setup_sampler_step                                  
      0.2          1615015        120      13458.5      13500.0      11440      25979       2272.6  CCCL:cub::DeviceScan::InclusiveSumByKey                          
      0.1          1299407         63      20625.5      20770.0      16530      22740        953.0  TensorRT-LLM:_enqueue_responses                                  
      0.1          1094425          1    1094425.0    1094425.0    1094425    1094425          0.0  TensorRT-LLM:[Executor] _forward_step 64: 0 ctx reqs, 1 gen reqs 
      0.1           992166          1     992166.0     992166.0     992166     992166          0.0  TensorRT-LLM:[Executor] _forward_step 69: 0 ctx reqs, 1 gen reqs 
      0.1           970806          1     970806.0     970806.0     970806     970806          0.0  TensorRT-LLM:[Executor] _forward_step 77: 0 ctx reqs, 1 gen reqs 
      0.1           968195          1     968195.0     968195.0     968195     968195          0.0  TensorRT-LLM:[Executor] _forward_step 118: 0 ctx reqs, 1 gen reqs
      0.1           967825          1     967825.0     967825.0     967825     967825          0.0  TensorRT-LLM:[Executor] _forward_step 114: 0 ctx reqs, 1 gen reqs
      0.1           966846          1     966846.0     966846.0     966846     966846          0.0  TensorRT-LLM:[Executor] _forward_step 108: 0 ctx reqs, 1 gen reqs
      0.1           966396          1     966396.0     966396.0     966396     966396          0.0  TensorRT-LLM:[Executor] _forward_step 98: 0 ctx reqs, 1 gen reqs 
      0.1           965546          1     965546.0     965546.0     965546     965546          0.0  TensorRT-LLM:[Executor] _forward_step 91: 0 ctx reqs, 1 gen reqs 
      0.1           964986          1     964986.0     964986.0     964986     964986          0.0  TensorRT-LLM:[Executor] _forward_step 94: 0 ctx reqs, 1 gen reqs 
      0.1           964696          1     964696.0     964696.0     964696     964696          0.0  TensorRT-LLM:[Executor] _forward_step 70: 0 ctx reqs, 1 gen reqs 
