
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.6,189272697,60,3154545.0,3264311.0,799047,3293576,481876.7,cudaEventSynchronize
5.3,11766697,57,206433.3,203599.0,194929,309589,16138.3,cudaGraphLaunch
3.0,6696521,1533,4368.2,3640.0,3000,16380,1825.2,cudaLaunchKernel
2.8,6265132,1584,3955.3,3395.0,2280,30330,1755.3,cudaMemcpyAsync
1.6,3681530,60,61358.8,58375.0,23070,83540,12940.5,cudaStreamSynchronize
0.4,1007348,267,3772.8,3270.0,2870,14290,1470.9,cuLaunchKernelEx
0.3,716120,204,3510.4,3020.0,2660,33780,2490.2,cuLaunchKernel
0.3,671957,603,1114.4,820.0,550,23150,1232.3,cudaEventRecord
0.3,621129,123,5049.8,5350.0,1080,15060,4107.7,cudaMallocFromPoolAsync
0.3,562023,111,5063.3,6290.0,1820,14670,2229.6,cudaMemsetAsync
0.2,557554,603,924.6,480.0,300,18380,1600.7,cudaEventCreateWithFlags
0.2,553238,543,1018.9,830.0,540,10620,630.4,cudaStreamWaitEvent
0.1,319299,123,2595.9,3050.0,1570,6670,986.7,cudaFreeAsync
0.1,301089,603,499.3,410.0,290,7510,358.1,cudaEventDestroy
0.1,297567,60,4959.4,4845.0,4450,12760,1051.7,cudaMemcpy2DAsync
0.1,247840,66,3755.2,3545.0,3370,10620,1038.8,cudaLaunchKernelExC
0.1,219390,1533,143.1,120.0,90,9320,239.9,cuKernelGetName
0.0,43889,69,636.1,580.0,500,2450,262.5,cudaStreamIsCapturing
0.0,40829,1,40829.0,40829.0,40829,40829,0.0,cudaDeviceSynchronize
0.0,16140,1,16140.0,16140.0,16140,16140,0.0,cuProfilerStart

