Generating SQLite file /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite from /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     42.6         94557643       1320   71634.6   71520.0     70785     74656        531.6  sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execut…
     26.8         59464559       2640   22524.5   25280.0     12864     40096       9377.7  sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execut…
      9.9         21878880       1320   16574.9   16480.0     16192     18848        336.5  sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execut…
      6.8         15123012       1254   12059.8   12032.0     11200     13056        233.0  void tensorrt_llm::_v1::kernels::mmha::masked_multihead_attention_kernel<__nv_bfloat16, __nv_bfloat…
      4.9         10962100         60  182701.7  182577.0    181921    185185        671.6  sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize128x128x32_stage4_warpsize2x2x1_tensor16x8x16_fused
      2.3          5109432       2451    2084.6    2080.0      2016      2304         45.3  __myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_com_vec                 
      2.0          4329074         60   72151.2   71168.0     51808     88864      10908.5  tensorrt_llm::_v1::kernels::insertUnfinishedPathKernel(tensorrt_llm::_v1::kernels::BeamHypotheses)  
      0.7          1606115       1254    1280.8    1280.0      1248      1313         14.5  __myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_com_vec                                            
      0.6          1432517         60   23875.3   23872.0     23552     24416        171.8  void tensorrt_llm::_v1::kernels::addBiasSoftMax<float>(T1 *, T1 **, T1 *, float *, const T1 *, cons…
      0.4           866563        180    4814.2    4864.0      3840      6080        573.3  void tensorrt_llm::_v1::kernels::air_topk_stable::radix_kernel<float, int, (int)11, (int)512, (bool…
      0.4           786053         60   13100.9    7008.0      6944     34433      10708.8  void tensorrt_llm::_v1::kernels::beamStage3Kernel<float, (int)16, (int)32, (bool)1, (bool)1>(const …
      0.3           769763         60   12829.4   12832.0     12704     12960         65.4  void tensorrt_llm::_v1::kernels::batchApplyPenalty<float>(const T1 *const *, T1 *, const T1 *, int …
      0.3           676067         57   11860.8   11840.0     11584     12320        159.4  __myl_GathCastMulMeanAddSqrtDivMulCastMul_0xb83308d3e23a7d52c1f00b93d6c52c8e_com                    
      0.2           509443        120    4245.4    4224.0      3072      5536       1118.3  void cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::segmented_sort::DeviceSegmentedSortFallb…
      0.2           498401         60    8306.7    7616.0      7488     10336       1022.0  tensorrt_llm::_v1::kernels::finalizeKernel(tensorrt_llm::_v1::kernels::BeamHypotheses)              
      0.2           491427        120    4095.2    4064.0      3072      5312        975.8  void cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::segmented_sort::DeviceSegmentedSortFallb…
      0.1           303009        117    2589.8    1952.0      1568      3680        761.9  void tensorrt_llm::runtime::kernels::<unnamed>::copyBatch<unsigned int>(const unsigned char *, unsi…
      0.1           293729        129    2277.0    2272.0      2208      2784         66.9  __myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_vec                     
      0.1           249024         60    4150.4    4064.0      2720      5664        584.7  void tensorrt_llm::_v1::kernels::air_topk_stable::radix_topk_one_block_kernel<float, int, (int)11, …
      0.1           241824         60    4030.4    4032.0      3648      4352        115.8  tensorrt_llm::_v1::kernels::copyBeamHypotheses(tensorrt_llm::_v1::kernels::CopyBeamHypothesesStruct)
      0.1           231105         66    3501.6    3488.0      3392      3840         85.1  fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl                            
      0.1           163170         66    2472.3    2464.0      2368      2656         69.8  void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)25…
      0.1           155808         66    2360.7    2336.0      2304      2624         76.9  void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm:…
      0.1           141217         60    2353.6    2240.0      1088      4256        560.4  void tensorrt_llm::_v1::kernels::air_topk_stable::last_filter_kernel<float, int, (int)11, (bool)1>(…
      0.1           135552         60    2259.2    2256.0      2144      2496         60.4  tensorrt_llm::_v1::kernels::updateCacheIndirectionKernel(int *, const int *, tensorrt_llm::_v1::ker…
      0.0           106082         60    1768.0    1760.0      1728      1857         24.1  tensorrt_llm::_v1::kernels::copyNextStepIds(int *, const int *const *, const int *, const int *, co…
      0.0            98304         60    1638.4    1632.0      1600      1760         37.2  __myl_AddSqrtDivMulCastMulAddGath_0xd7779f1f8fa5e1687cc34fff8e958357                                
      0.0            95616         66    1448.7    1440.0      1440      1472         14.4  __myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_vec                                                
      0.0            93152         60    1552.5    1536.0      1536      1664         26.7  tensorrt_llm::_v1::kernels::lengthCriterion(tensorrt_llm::_v1::kernels::FinishedState *, int *, con…
      0.0            92416         60    1540.3    1536.0      1504      1664         32.5  tensorrt_llm::_v1::kernels::addCumLogProbs(float *, const float *, const tensorrt_llm::_v1::kernels…
      0.0            88320         15    5888.0    2272.0       928     17632       6608.3  void tensorrt_llm::runtime::kernels::<unnamed>::fill<int>(T1 *, unsigned long, T1)                  
      0.0            83104         57    1458.0    1472.0      1440      1472         16.0  __myl_AddCastMulMean_0x39303349cfa99d4e8ecf500ebc5698ac_com_vec                                     
      0.0            76321         60    1272.0    1280.0      1248      1312         15.2  tensorrt_llm::_v1::kernels::gatherId(const int *, int *, unsigned long, unsigned long, unsigned lon…
      0.0            64768         60    1079.5    1088.0      1056      1088         14.3  tensorrt_llm::_v1::kernels::initializeOutput(int *, const int *, int, int)                          
      0.0            35104          3   11701.3   11776.0     11552     11776        129.3  __myl_GathCastMulMeanAddSqrtDivMulCastMul_0xb83308d3e23a7d52c1f00b93d6c52c8e                        
      0.0            21696          3    7232.0   10208.0       928     10560       5462.3  void tensorrt_llm::runtime::kernels::<unnamed>::fill<float>(T1 *, unsigned long, T1)                
      0.0             5152          3    1717.3    1728.0      1696      1728         18.5  void tensorrt_llm::runtime::kernels::<unnamed>::tileTensor<float>(T1 *, const T1 *, unsigned int, u…
      0.0             5088          3    1696.0    1696.0      1696      1696          0.0  __myl_AddCastMulMean_0x39303349cfa99d4e8ecf500ebc5698ac_vec                                         
      0.0             4864          3    1621.3    1632.0      1600      1632         18.5  void tensorrt_llm::runtime::kernels::<unnamed>::fillBatch<int>(T1 *, const int *, unsigned long, co…

