
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_gpu_trace.py]... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
35164812,384,19,,,,,,,,,,0.000,10.417,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35185676,384,21,,,,,,,,,,0.000,197.917,Pageable,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35192364,384,22,,,,,,,,,,0.000,10.417,Pageable,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35197260,384,23,,,,,,,,,,0.000,10.417,Pageable,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35202604,384,24,,,,,,,,,,0.000,10.417,Pageable,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35210316,384,26,,,,,,,,,,0.000,197.917,Pageable,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35226092,1376,27,,,,,,,,,,0.000,11.628,Pinned,Device,NVIDIA L40S (0),1,,13,[CUDA memcpy Host-to-Device]
35458477,11776,35,19,1,1,128,1,1,23,0.000,0.008,,,,,NVIDIA L40S (0),1,,13,__myl_GathCastMulMeanAddSqrtDivMulCastMul_0xb83308d3e23a7d52c1f00b93d6c52c8e
35513869,17024,36,1,80,1,128,1,1,54,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
35671502,2624,44,1,1,1,256,1,1,40,0.004,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::computeSeqAndPaddingOffsets<__nv_bfloat16, (int)256>(tensorrt_llm::_v1::kernels::BuildDecoderInfoParams<T1>)"
35689038,2624,45,1,32,1,256,1,1,52,0.000,0.000,,,,,NVIDIA L40S (0),1,,13,"void tensorrt_llm::_v1::kernels::applyBiasRopeUpdateKVCacheV2<__nv_bfloat16, __nv_bfloat16, (int)256, (int)64, (bool)0, (bool)0, (bool)0, (bool)0, tensorrt_llm::_v1::kernels::KVBlockArray, (tensorrt_llm::_v1::kernels::RotaryPositionEmbeddingType)2>(tensorrt_llm::_v1::kernels::QKVPreprocessingParams<T1, T9>)"
35710478,3840,47,1,32,1,128,1,1,204,0.000,0.016,,,,,NVIDIA L40S (0),1,,13,fmha_v2_flash_attention_bf16_64_32_S_q_paged_kv_64_causal_sm89_kernel_nl
35796623,13408,51,1,64,1,128,1,1,56,0.000,0.049,,,,,NVIDIA L40S (0),1,,13,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
