
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
4382,4475,0,57,57,3549465.4,3548900.0,3541827,3563444,3853.0,206433.3,203599.0,194929,309589,16138.3,3160450.4,3162990.0,3056359,3176518,16842.1,182581.6,182561.0,181921,183713,424.8,cudaGraphLaunch,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize128x128x32_stage4_warpsize2x2x1_tensor16x8x16_fused
4382,4475,0,57,57,3366819.7,3366192.0,3359298,3380275,3861.2,206433.3,203599.0,194929,309589,16138.3,3158751.6,3161294.0,3054631,3174790,16841.4,1634.8,1632.0,1600,1760,34.4,cudaGraphLaunch,__myl_AddSqrtDivMulCastMulAddGath_0xd7779f1f8fa5e1687cc34fff8e958357
4382,4475,0,57,57,3365126.0,3364528.0,3357602,3378579,3855.8,206433.3,203599.0,194929,309589,16138.3,3157234.7,3159790.0,3053127,3173286,16841.2,1458.0,1472.0,1440,1472,16.0,cudaGraphLaunch,__myl_AddCastMulMean_0x39303349cfa99d4e8ecf500ebc5698ac_com_vec
4382,4475,0,60,60,3227795.6,3340783.5,914215,3356197,480015.7,3934.6,3730.0,3510,12610,1166.9,3211031.6,3324363.5,896589,3339941,480117.0,12829.4,12832.0,12704,12960,65.4,cudaLaunchKernel,"void tensorrt_llm::_v1::kernels::batchApplyPenalty<float>(const T1 *const *, T1 *, const T1 *, int *, const int *, const float *, const float *, const float *, const float *, const int *, int, int, int, const int **, const int **, const int *, const int *, const int *, const int *, const int *, const int *, const tensorrt_llm::_v1::kernels::FinishedState *)"
4382,4475,0,60,60,3220305.5,3333178.5,907747,3348475,479953.5,5296.6,5125.0,4760,13239,1070.9,3191133.5,3304034.0,877701,3319501,480027.3,23875.3,23872.0,23552,24416,171.8,cudaLaunchKernel,"void tensorrt_llm::_v1::kernels::addBiasSoftMax<float>(T1 *, T1 **, T1 *, float *, const T1 *, const float *, const int *, const tensorrt_llm::_v1::kernels::FinishedState *, const int *, const int *, const float *, int, int, int, int, bool, bool, bool, const bool *)"
4382,4475,0,60,60,3216297.8,3328174.5,896551,3346742,480171.4,3529.3,3305.0,3130,11910,1166.1,3210414.9,3322111.0,889885,3339266,480217.0,2353.6,2240.0,1088,4256,560.4,cudaLaunchKernel,"void tensorrt_llm::_v1::kernels::air_topk_stable::last_filter_kernel<float, int, (int)11, (bool)1>(const T1 *, const T2 *, const T1 *, const T2 *, T1 *, T2 *, T2, T2, tensorrt_llm::_v1::kernels::air_topk_stable::Counter<T1, T2> *, bool)"
4382,4475,0,180,180,3215701.8,3327870.0,895211,3345440,477581.7,3735.0,3350.0,3000,12690,1616.3,3207152.6,3319063.0,886507,3336654,477516.3,4814.2,4864.0,3840,6080,573.3,cudaLaunchKernel,"void tensorrt_llm::_v1::kernels::air_topk_stable::radix_kernel<float, int, (int)11, (int)512, (bool)0, (bool)1>(const T1 *, const T2 *, const T1 *, const T2 *, T1 *, T2 *, T1 *, T2 *, tensorrt_llm::_v1::kernels::air_topk_stable::Counter<T1, T2> *, T2 *, T2, T2, bool, int)"
4382,4475,0,60,60,3215066.6,3324078.5,897666,3352778,477567.7,3544.3,3360.0,3160,11950,1129.3,3198421.4,3310625.0,863926,3332024,481330.7,13100.9,7008.0,6944,34433,10708.8,cudaLaunchKernel,"void tensorrt_llm::_v1::kernels::beamStage3Kernel<float, (int)16, (int)32, (bool)1, (bool)1>(const int *, const T1 *, float *, tensorrt_llm::_v1::kernels::BeamHypotheses)"
4382,4475,0,120,120,3213805.5,3325839.0,881588,3347658,478626.2,3807.5,3710.0,3350,12770,893.2,3205902.7,3318152.5,871856,3338954,478750.6,4095.2,4064.0,3072,5312,975.8,cudaLaunchKernel,"void cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::segmented_sort::DeviceSegmentedSortFallbackKernel<(cub::CUB_300104_SM_800_860_890_900_1000_1200::SortOrder)0, cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::segmented_sort::policy_hub<int, float>::Policy860, int, float, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::transform_iterator<tensorrt_llm::_v1::kernels::air_topk_stable::ComputeOffset<int>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::counting_iterator<int, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::transform_iterator<tensorrt_llm::_v1::kernels::air_topk_stable::ComputeOffset<int>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::counting_iterator<int, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default>, int>(const T3 *, T3 *, cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::device_double_buffer<T3>, const T4 *, T4 *, cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::device_double_buffer<T4>, T5, T6)"
4382,4475,0,60,60,3213743.4,3322897.5,894653,3351848,477700.7,3397.5,3210.0,3020,11769,1112.7,3208086.7,3317511.0,888711,3346316,477682.0,2259.2,2256.0,2144,2496,60.4,cudaLaunchKernel,"tensorrt_llm::_v1::kernels::updateCacheIndirectionKernel(int *, const int *, tensorrt_llm::_v1::kernels::BeamHypotheses, int, int)"
4382,4475,0,60,60,3213152.2,3324971.0,888994,3344716,480423.7,3827.8,3395.0,3170,12140,1729.4,3207784.1,3319369.0,882078,3339916,480498.2,1540.3,1536.0,1504,1664,32.5,cudaLaunchKernel,"tensorrt_llm::_v1::kernels::addCumLogProbs(float *, const float *, const tensorrt_llm::_v1::kernels::FinishedState *, const int *, const float *, const int *, unsigned long, unsigned long, unsigned long, unsigned long)"
4382,4475,0,120,120,3212680.5,3324710.5,876700,3347554,478835.4,4175.7,3635.0,3370,12560,2024.1,3204259.5,3316211.5,869876,3338542,478721.6,4245.4,4224.0,3072,5536,1118.3,cudaLaunchKernel,"void cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::segmented_sort::DeviceSegmentedSortFallbackKernel<(cub::CUB_300104_SM_800_860_890_900_1000_1200::SortOrder)1, cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::segmented_sort::policy_hub<float, int>::Policy860, float, int, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::transform_iterator<tensorrt_llm::_v1::kernels::air_topk_stable::ComputeOffset<int>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::counting_iterator<int, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::transform_iterator<tensorrt_llm::_v1::kernels::air_topk_stable::ComputeOffset<int>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::counting_iterator<int, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::compile_time_value<(int)1>>, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default, thrust::THRUST_300104_SM_800_860_890_900_1000_1200_NS::use_default>, int>(const T3 *, T3 *, cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::device_double_buffer<T3>, const T4 *, T4 *, cub::CUB_300104_SM_800_860_890_900_1000_1200::detail::device_double_buffer<T4>, T5, T6)"
4382,4475,0,60,60,3211514.8,3323133.0,883656,3343808,480881.0,3360.0,3330.0,3080,4280,196.0,3204004.4,3315757.0,876624,3336514,480631.4,4150.4,4064.0,2720,5664,584.7,cudaLaunchKernel,"void tensorrt_llm::_v1::kernels::air_topk_stable::radix_topk_one_block_kernel<float, int, (int)11, (int)512, (bool)1>(const T1 *, const T2 *, T2, T2, T1 *, T2 *, bool, char *)"
4382,4475,0,60,60,3205164.2,3317315.5,873532,3338594,481106.2,3266.7,3190.0,3000,4330,233.6,3200625.5,3312705.5,867954,3334124,481195.7,1272.0,1280.0,1248,1312,15.2,cudaLaunchKernel,"tensorrt_llm::_v1::kernels::gatherId(const int *, int *, unsigned long, unsigned long, unsigned long, unsigned long)"
4382,4475,0,60,60,3201736.4,3309550.0,880743,3341028,477709.4,3995.7,3585.0,3330,12660,1671.3,3196188.2,3304458.0,874537,3335940,477683.4,1552.5,1536.0,1536,1664,26.7,cudaLaunchKernel,"tensorrt_llm::_v1::kernels::lengthCriterion(tensorrt_llm::_v1::kernels::FinishedState *, int *, const int *, int *, int *, const int *, int, int)"
4382,4475,0,60,60,3192530.6,3299844.0,859669,3333444,478690.2,3929.7,3500.0,3240,14960,1895.7,3186832.9,3294275.0,851639,3328384,478898.5,1768.0,1760.0,1728,1857,24.1,cudaLaunchKernel,"tensorrt_llm::_v1::kernels::copyNextStepIds(int *, const int *const *, const int *, const int *, const int *, int, int, int, int, int)"
4382,4475,0,1254,1196,1742248.1,1744387.0,194929,3345299,957759.6,206433.3,203599.0,194929,309589,16002.5,1609013.4,1610535.5,43887,3140102,917619.1,1280.8,1280.0,1248,1313,14.5,cudaGraphLaunch,__myl_SiluMul_0x9f454cc6bd9fa35367d73674a8bd1d8c_com_vec
4382,4475,0,1254,1195,1740971.8,1743043.0,194929,3343955,957660.1,206433.3,203599.0,194929,309589,16002.5,1538647.3,1538486.0,7655,3068518,916966.2,71600.4,71488.0,70785,73376,497.5,cudaGraphLaunch,sm80_xmma_gemm_bf16bf16_bf16f32_f32_tn_n_tilesize64x96x64_stage4_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
4382,4475,0,2508,2385,1721546.9,1722915.0,194929,3377075,957390.9,206433.3,203599.0,194929,309589,15999.3,1570784.5,1601838.0,114,3141446,915901.6,22492.7,23056.0,12864,36352,9367.0,cudaGraphLaunch,sm80_xmma_gemm_bf16bf16_bf16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
4382,4475,0,2451,2335,1685403.1,1697143.0,194929,3272563,934895.6,206433.3,203599.0,194929,309589,15999.4,1550358.0,1536342.0,5543,3066374,896428.2,2084.6,2080.0,2016,2304,45.3,cudaGraphLaunch,__myl_AddCastMulMeanAddSqrtDivMulCastMul_0x21025d7473ed11017b82f571ac2b6ca2_com_vec
4382,4475,0,117,117,1658851.1,1268352.0,10319,3350619,1648903.1,6930.5,6860.0,4150,14830,884.1,1649330.7,1262506.0,303,3342161,1649654.2,2589.8,1952.0,1568,3680,761.9,cudaLaunchKernel,"void tensorrt_llm::runtime::kernels::<unnamed>::copyBatch<unsigned int>(const unsigned char *, unsigned char *, const long *, const long *, const long *, long)"
