
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TensorRT:ExecutionContext::enqueueV3,PushPop,11514452,7704837,3,3838150.7,3747633.0,3742833,4023986,160956.0,669,223.0,0.0,45.0
myelin-exec:myelinGraphExecute ,StartEnd,10306860,4004954,69,149374.8,144865.0,36416,314818,41127.0,471,6.8,0.0,6.8
TensorRT:{ForeignNode[LLaMAForCausalLM/__mul___L347/elementwise_binary_L3005/broadcast_helper_L2947/constant_to_tensor__L2879/constant_L1214/CONSTANT_1 + LLaMAForCausalLM/__mul___L347/elementwise_binary_L3005/broadcast_helper_L2957/expand_dims_like_L2050/expand_dims_L1882/view_L1790/SHUFFLE_1...LLaMAForCausalLM/mark_output_L317/_mark_output_L239/cast_L912/CAST_0]},PushPop,944132,215969,3,314710.7,314689.0,314625,314818,98.3,24,8.0,1.0,0.0
myelin-exec:__myl_FcCast_myl102_8,PushPop,554947,22380,3,184982.3,184993.0,184769,185185,208.2,3,1.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/1/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/1/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,473728,298890,3,157909.3,149728.0,149280,174720,14560.2,21,7.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/16/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/16/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,453411,199000,3,151137.0,154433.0,144161,154817,6044.4,21,7.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/2/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/2/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,451458,232109,3,150486.0,146305.0,146145,159008,7380.7,21,7.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/18/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/18/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,439616,191659,3,146538.7,145344.0,145280,148992,2124.9,21,7.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/15/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/15/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,439393,201490,3,146464.3,146465.0,145760,147168,704.0,21,7.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/5/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/5/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,439329,208808,3,146443.0,146688.0,145921,146720,452.3,21,7.0,1.0,0.0
TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/19/attention/qkv/get_weight_L224/get_constant_tensor_L139/_create_constant_tensor_L116/constant_L1214/CONSTANT_0...LLaMAForCausalLM/transformer/layers/19/attention/qkv/multiply_collect_L286/multiply_and_lora_L257/matmul_L1103/MATRIX_MULTIPLY_0]},PushPop,439234,199249,3,146411.3,143873.0,143841,151520,4424.3,21,7.0,1.0,0.0
