
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_trt_kernels.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_pushpop_sum.py]... 

 ** NVTX Push/Pop Range Summary (nvtx_pushpop_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                 Range                                                
 --------  ---------------  ---------  ----------  ----------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     31.5         83365172          1  83365172.0  83365172.0  83365172  83365172          0.0  :trt_measurement_0                                                                                  
     30.9         81768039          1  81768039.0  81768039.0  81768039  81768039          0.0  :trt_measurement_2                                                                                  
     30.9         81670799          1  81670799.0  81670799.0  81670799  81670799          0.0  :trt_measurement_1                                                                                  
      2.9          7704837          3   2568279.0   2340160.0   2339420   3025257     395754.7  TensorRT:ExecutionContext::enqueueV3                                                                
      0.1           298890          3     99630.0     65900.0     63750    169240      60293.6  TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/1/attention/qkv/get_weight_L224/get_const…
      0.1           232109          3     77369.7     71810.0     58589    101710      22091.6  TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/2/attention/qkv/get_weight_L224/get_const…
      0.1           217259          3     72419.7     74740.0     60340     82179      11102.9  TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/12/attention/qkv/get_weight_L224/get_cons…
      0.1           215969          3     71989.7     72520.0     63020     80429       8716.6  TensorRT:{ForeignNode[LLaMAForCausalLM/__mul___L347/elementwise_binary_L3005/broadcast_helper_L2947…
      0.1           215159          3     71719.7     69940.0     58990     86229      13706.4  TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/4/attention/qkv/get_weight_L224/get_const…
      0.1           213759          3     71253.0     68000.0     66539     79220       6938.2  TensorRT:{ForeignNode[LLaMAForCausalLM/transformer/layers/13/attention/qkv/get_weight_L224/get_cons…
