
NOTICE: Existing SQLite export found: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_early_emit.sqlite
        It is assumed file was previously exported from: /home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_early_emit.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/bbuddharaju/scratch/TensorRT-LLM/nvbugs_5615248/trtllm_bench/trace_pytorch_early_emit.sqlite] with [/usr/local/cuda-13.1/NsightSystems-cli-2026.1.1/target-linux-x64/reports/nvtx_gpu_proj_sum.py]... 
Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
TensorRT-LLM:_forward_step,PushPop,5019812784,12300564657,611,8215732.9,391333.0,78977,1765636873,74559459.6,35896,58.7,0.1,0.6
TensorRT-LLM:_sample_async,PushPop,293963748,1161592597,382,769538.6,296436.0,283524,122605271,6283471.8,39128,102.4,0.0,1.0
TensorRT-LLM:sample_async,PushPop,293963748,1151164985,382,769538.6,296436.0,283524,122605271,6283471.8,39128,102.4,1.0,4.1
TensorRT-LLM:_process_requests,PushPop,205440231,824953225,382,537801.7,196435.0,193154,104311859,5331474.5,26358,69.0,2.0,1.0
TensorRT-LLM:sample_batched_by_strategy,PushPop,197003980,685611330,382,515717.2,187938.0,186339,103737516,5300671.8,25212,66.0,3.0,0.0
TensorRT-LLM:_prepare_inputs,PushPop,154175340,333183151,588,262203.0,254067.5,22624,1358258,129569.8,5363,9.1,1.3,0.0
TensorRT-LLM:maybe_create_beam_histories,PushPop,31993393,100941715,382,83752.3,33408.5,26304,15520737,792600.1,3438,9.0,2.0,0.0
TensorRT-LLM:_write_finish_reasons,PushPop,17840311,112953410,382,46702.4,33024.0,32801,666377,60360.6,5730,15.0,2.0,0.0
"TensorRT-LLM:[Executor] _forward_step 0: 1 ctx reqs, 0 gen reqs",PushPop,13798861,14144935,2,6899430.5,6899430.5,6686452,7112409,301197.1,160,80.0,1.0,2.0
TensorRT-LLM:setup_sampler_step,PushPop,10883561,12483201,21,518264.8,516102.0,459910,734441,55567.0,546,26.0,2.0,0.0
"TensorRT-LLM:[Executor] _forward_step 2: 1 ctx reqs, 0 gen reqs",PushPop,6985975,7030638,1,6985975.0,6985975.0,6985975,6985975,0.0,79,79.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 21: 1 ctx reqs, 0 gen reqs",PushPop,6497139,6514502,1,6497139.0,6497139.0,6497139,6497139,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 42: 1 ctx reqs, 0 gen reqs",PushPop,5523366,5501181,1,5523366.0,5523366.0,5523366,5523366,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 252: 1 ctx reqs, 0 gen reqs",PushPop,5474983,5521932,1,5474983.0,5474983.0,5474983,5474983,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 357: 1 ctx reqs, 0 gen reqs",PushPop,5360357,5342973,1,5360357.0,5360357.0,5360357,5360357,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 336: 1 ctx reqs, 0 gen reqs",PushPop,5358340,5341093,1,5358340.0,5358340.0,5358340,5358340,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 378: 1 ctx reqs, 0 gen reqs",PushPop,5338372,5330133,1,5338372.0,5338372.0,5338372,5338372,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 315: 1 ctx reqs, 0 gen reqs",PushPop,5269700,5258264,1,5269700.0,5269700.0,5269700,5269700,0.0,79,79.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 126: 1 ctx reqs, 0 gen reqs",PushPop,5265954,5255244,1,5265954.0,5265954.0,5265954,5265954,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 105: 1 ctx reqs, 0 gen reqs",PushPop,5253283,5171294,1,5253283.0,5253283.0,5253283,5253283,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 63: 1 ctx reqs, 0 gen reqs",PushPop,5252355,5196234,1,5252355.0,5252355.0,5252355,5252355,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 189: 1 ctx reqs, 0 gen reqs",PushPop,5250691,5241543,1,5250691.0,5250691.0,5250691,5250691,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 210: 1 ctx reqs, 0 gen reqs",PushPop,5247235,5234664,1,5247235.0,5247235.0,5247235,5247235,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 294: 1 ctx reqs, 0 gen reqs",PushPop,5245796,5224544,1,5245796.0,5245796.0,5245796,5245796,0.0,79,79.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 168: 1 ctx reqs, 0 gen reqs",PushPop,5229730,5156924,1,5229730.0,5229730.0,5229730,5229730,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 273: 1 ctx reqs, 0 gen reqs",PushPop,5220578,5196564,1,5220578.0,5220578.0,5220578,5220578,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 147: 1 ctx reqs, 0 gen reqs",PushPop,5217666,5196784,1,5217666.0,5217666.0,5217666,5217666,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 84: 1 ctx reqs, 0 gen reqs",PushPop,5215554,5133495,1,5215554.0,5215554.0,5215554,5215554,0.0,81,81.0,1.0,2.0
"TensorRT-LLM:[Executor] _forward_step 231: 1 ctx reqs, 0 gen reqs",PushPop,5215010,5211884,1,5215010.0,5215010.0,5215010,5215010,0.0,79,79.0,1.0,2.0
CCCL:cub::DeviceScan::InclusiveSumByKey,PushPop,3336365,10300875,764,4367.0,4128.0,3712,63809,2365.5,1528,2.0,0.0,0.0
TensorRT-LLM:update_original_tokens,PushPop,3172067,29452066,382,8303.8,6272.0,6240,53600,8353.4,1146,3.0,2.0,0.0
CCCL:cub::DeviceScan::InclusiveScan,PushPop,1524341,5048828,232,6570.4,3296.0,3072,54880,5380.4,464,2.0,0.0,0.0
"TensorRT-LLM:[Executor] _forward_step 224: 0 ctx reqs, 1 gen reqs",PushPop,1479315,1930373,1,1479315.0,1479315.0,1479315,1479315,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 223: 0 ctx reqs, 1 gen reqs",PushPop,1111790,1642195,1,1111790.0,1111790.0,1111790,1111790,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 355: 0 ctx reqs, 1 gen reqs",PushPop,864843,1339828,1,864843.0,864843.0,864843,864843,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 19: 0 ctx reqs, 1 gen reqs",PushPop,777546,1226949,1,777546.0,777546.0,777546,777546,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 1: 0 ctx reqs, 1 gen reqs",PushPop,635880,999661,1,635880.0,635880.0,635880,635880,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 337: 0 ctx reqs, 1 gen reqs",PushPop,579367,818223,1,579367.0,579367.0,579367,579367,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 274: 0 ctx reqs, 1 gen reqs",PushPop,574824,814363,1,574824.0,574824.0,574824,574824,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 316: 0 ctx reqs, 1 gen reqs",PushPop,571559,808232,1,571559.0,571559.0,571559,571559,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 22: 0 ctx reqs, 1 gen reqs",PushPop,565831,849373,1,565831.0,565831.0,565831,565831,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 253: 0 ctx reqs, 1 gen reqs",PushPop,558439,800393,1,558439.0,558439.0,558439,558439,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 64: 0 ctx reqs, 1 gen reqs",PushPop,558151,786513,1,558151.0,558151.0,558151,558151,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 358: 0 ctx reqs, 1 gen reqs",PushPop,557511,796133,1,557511.0,557511.0,557511,557511,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 129: 0 ctx reqs, 1 gen reqs",PushPop,553735,801153,1,553735.0,553735.0,553735,553735,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 169: 0 ctx reqs, 1 gen reqs",PushPop,552903,793783,1,552903.0,552903.0,552903,552903,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 127: 0 ctx reqs, 1 gen reqs",PushPop,551047,787263,1,551047.0,551047.0,551047,551047,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 232: 0 ctx reqs, 1 gen reqs",PushPop,550695,804403,1,550695.0,550695.0,550695,550695,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 295: 0 ctx reqs, 1 gen reqs",PushPop,549575,797453,1,549575.0,549575.0,549575,549575,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 243: 0 ctx reqs, 1 gen reqs",PushPop,548967,780903,1,548967.0,548967.0,548967,548967,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 43: 0 ctx reqs, 1 gen reqs",PushPop,548647,791263,1,548647.0,548647.0,548647,548647,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 85: 0 ctx reqs, 1 gen reqs",PushPop,544039,779843,1,544039.0,544039.0,544039,544039,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 379: 0 ctx reqs, 1 gen reqs",PushPop,543623,788553,1,543623.0,543623.0,543623,543623,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 190: 0 ctx reqs, 1 gen reqs",PushPop,537415,769883,1,537415.0,537415.0,537415,537415,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 148: 0 ctx reqs, 1 gen reqs",PushPop,537287,771643,1,537287.0,537287.0,537287,537287,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 211: 0 ctx reqs, 1 gen reqs",PushPop,536550,793303,1,536550.0,536550.0,536550,536550,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 106: 0 ctx reqs, 1 gen reqs",PushPop,533095,786433,1,533095.0,533095.0,533095,533095,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 370: 0 ctx reqs, 1 gen reqs",PushPop,520295,807663,1,520295.0,520295.0,520295,520295,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 332: 0 ctx reqs, 1 gen reqs",PushPop,511175,811252,1,511175.0,511175.0,511175,511175,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 384: 0 ctx reqs, 1 gen reqs",PushPop,456966,843423,1,456966.0,456966.0,456966,456966,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 2: 0 ctx reqs, 1 gen reqs",PushPop,452422,822733,1,452422.0,452422.0,452422,452422,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 286: 0 ctx reqs, 1 gen reqs",PushPop,435526,817843,1,435526.0,435526.0,435526,435526,0.0,13,13.0,1.0,1.0
"TensorRT-LLM:[Executor] _forward_step 276: 0 ctx reqs, 1 gen reqs",PushPop,425093,799493,1,425093.0,425093.0,425093,425093,0.0,13,13.0,1.0,1.0
