match_idx	conversation_id	conversation_idx	input_tokens	output_tokens	cached_tokens	ttft_client_ms	itl_client_ms	elapsed_client_ms	ttft_server_ms	srv_preproc_ms	queue_ms	prefill_ms	srv_postproc_ms	gpu_forward_ms	gpu_sample_ms	prefill_host_ms	decode_ms	end_to_end_ms	first_iter	last_iter	kv_blocks_total	kv_blocks_new	kv_blocks_reused	kv_blocks_missed	kv_block_reuse_ratio
0	aa-rwlt-coding-agent-056	0	9572	86	0	1241.823	2.150	1290.171	322.878	110.727	5.330	99.454	107.367				154.389	369.900	1.000	37.000	600.000	600.000	0.000	600.000	0.000
1	aa-rwlt-coding-agent-056	1	9885	57	9575	154.939	0.095	156.987	151.012	6.710	3.758	36.851	103.693				104.789	152.108	39.000	64.000	20.000	20.000	600.000	18.000	0.971
2	aa-rwlt-coding-agent-056	2	9940	32	9888	166.682	0.010	167.099	162.140	6.639	3.627	33.201	118.673				54.401	97.868	66.000	79.000	4.000	4.000	618.000	4.000	0.994
3	aa-rwlt-coding-agent-056	3	13397	55	9943	182.398	0.153	185.991	178.376	8.355	4.556	62.687	102.778				104.988	180.586	81.000	106.000	218.000	218.000	622.000	216.000	0.742
4	aa-rwlt-coding-agent-056	4	16591	54	13400	170.165	0.293	178.376	86.771	9.817	5.290	69.481	2.183				88.430	173.018	108.000	129.000	202.000	202.000	838.000	200.000	0.807
5	aa-rwlt-coding-agent-056	5	32109	271	16594	359.932	2.184	779.603	269.497	16.917	9.406	241.115	2.059				505.699	773.137	131.000	243.000	972.000	972.000	1038.000	970.000	0.517
6	aa-rwlt-coding-agent-056	6	32589	1959	32112	161.405	1.755	3476.449	70.851	17.182	9.334	42.355	1.980				3399.961	3468.832	245.000	994.000	32.000	32.000	2008.000	30.000	0.985
7	aa-rwlt-coding-agent-056	7	35646	68	32592	292.676	1.930	333.518	114.322	18.306	10.351	83.838	1.827				125.856	238.351	996.000	1024.000	192.000	192.000	2038.000	190.000	0.915
8	aa-rwlt-coding-agent-056	8	54128	322	35649	533.852	2.183	1058.037	441.682	25.801	13.727	400.360	1.794				610.730	1050.618	1026.000	1158.000	1156.000	1156.000	2230.000	1154.000	0.659
9	aa-rwlt-coding-agent-056	9	54803	54	54131	197.174	0.534	210.839	97.037	25.838	14.880	54.191	2.128				99.854	194.763	1160.000	1182.000	44.000	44.000	3384.000	42.000	0.988
10	aa-rwlt-coding-agent-056	10	54870	59	54806	165.063	0.212	173.230	76.514	26.744	14.188	32.893	2.689				91.880	165.705	1184.000	1205.000	6.000	6.000	3426.000	4.000	0.999
11	aa-rwlt-coding-agent-056	11	54962	47	54874	169.491	0.825	191.275	76.057	26.857	14.380	33.162	1.658				105.509	179.908	1207.000	1231.000	8.000	8.000	3430.000	6.000	0.998
