conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	0	8190	2070	20.175	391.219	5.135	10.589	95.26	114.904	19.644
aa-rwlt-coding-agent-010	1	8291	10260	55.307	706.875	12.221	19.517	125.982	155.792	29.81
aa-rwlt-coding-agent-010	2	165	18551	99.118	712.969	11.33	18.499	44.067	71.687	27.62
aa-rwlt-coding-agent-010	3	315	18716	98.345	725.156	10.414	17.884	43.369	70.498	27.129
aa-rwlt-coding-agent-010	4	1830	19031	91.228	794.625	12.788	20.534	64.281	99.468	35.187
aa-rwlt-coding-agent-010	5	1349	20861	93.926	847.031	14.758	23.339	59.29	96.016	36.726
aa-rwlt-coding-agent-010	6	107	22210	99.521	850.688	14.398	22.748	47.817	83.101	35.284
aa-rwlt-coding-agent-010	7	1395	22317	94.117	903.094	16.909	25.599	62.094	103.747	41.653
aa-rwlt-coding-agent-010	8	99	23712	99.584	907.969	16.991	25.728	47.698	85.464	37.766
aa-rwlt-coding-agent-010	9	1913	23811	92.563	979.875	20.905	30.997	73.723	120.937	47.214
aa-rwlt-coding-agent-010	10	172	25724	99.336	987.188	21.274	30.696	52.105	97.37	45.265
aa-rwlt-coding-agent-010	11	1266	25896	95.339	1034.719	23.909	33.568	72.11	122.346	50.236
aa-rwlt-coding-agent-010	12	152	27162	99.444	1040.812	24.326	33.952	52.257	100.618	48.361
aa-rwlt-coding-agent-010	13	725	27314	97.414	1068.844	26.06	35.919	59.441	111.187	51.746
aa-rwlt-coding-agent-010	14	862	28039	97.017	1101.75	29.229	40.056	67.343	119.574	52.231
aa-rwlt-coding-agent-010	15	597	28901	97.976	1123.688	30.449	40.698	60.514	116.951	56.437
aa-rwlt-coding-agent-010	16	831	29498	97.26	1155.375	32.34	42.548	64.608	123.517	58.909
aa-rwlt-coding-agent-010	17	248	30329	99.189	1165.125	32.965	43.307	57.149	115.892	58.743
aa-rwlt-coding-agent-010	18	663	30577	97.878	1190.719	34.671	45.316	64.327	126.102	61.775
aa-rwlt-coding-agent-010	19	128	31240	99.592	1195.594	35.015	45.739	61.86	117.866	56.006
aa-rwlt-coding-agent-010	20	1518	31368	95.384	1252.875	42.111	53.121	78.91	150.544	71.634
aa-rwlt-coding-agent-010	21	419	32886	98.742	1268.719	43.573	55.006	60.904	131.51	70.606
aa-rwlt-coding-agent-010	22	165	33305	99.507	1274.812	44.382	56.057	60.004	132.819	72.815
