conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	0	8190	2070	20.175	313.219	5.983	11.596	95.26	120.222	24.962
aa-rwlt-coding-agent-010	1	8291	10260	55.307	316.875	13.079	20.407	125.982	157.147	31.165
aa-rwlt-coding-agent-010	2	165	18551	99.118	7.312	11.26	18.447	44.067	70.726	26.659
aa-rwlt-coding-agent-010	3	315	18716	98.345	13.406	10.634	18.158	43.369	70.455	27.086
aa-rwlt-coding-agent-010	4	1830	19031	91.228	70.688	13.668	22.337	64.281	97.436	33.155
aa-rwlt-coding-agent-010	5	1349	20861	93.926	52.406	16.22	24.494	59.29	97.852	38.562
aa-rwlt-coding-agent-010	6	107	22210	99.521	4.875	15.855	24.2	47.817	84.76	36.943
aa-rwlt-coding-agent-010	7	1395	22317	94.117	53.625	18.119	26.955	62.094	102.857	40.763
aa-rwlt-coding-agent-010	8	99	23712	99.584	4.875	18.156	26.92	47.698	85.174	37.476
aa-rwlt-coding-agent-010	9	1913	23811	92.563	73.125	22.048	31.586	73.723	118.13	44.407
aa-rwlt-coding-agent-010	10	172	25724	99.336	8.531	22.405	31.838	52.105	96.55	44.445
aa-rwlt-coding-agent-010	11	1266	25896	95.339	48.75	25.594	35.158	72.11	120.018	47.908
aa-rwlt-coding-agent-010	12	152	27162	99.444	7.312	25.941	35.823	52.257	101.5	49.243
aa-rwlt-coding-agent-010	13	725	27314	97.414	29.25	27.925	37.941	59.441	111.39	51.949
aa-rwlt-coding-agent-010	14	862	28039	97.017	34.125	30.133	43.448	67.343	121.095	53.752
aa-rwlt-coding-agent-010	15	597	28901	97.976	23.156	31.88	42.401	60.514	130.121	69.607
aa-rwlt-coding-agent-010	16	831	29498	97.26	32.906	34.253	44.811	64.608	126.459	61.851
aa-rwlt-coding-agent-010	17	248	30329	99.189	10.969	34.916	45.533	57.149	116.373	59.224
aa-rwlt-coding-agent-010	18	663	30577	97.878	26.812	36.999	47.407	64.327	126.567	62.24
aa-rwlt-coding-agent-010	19	128	31240	99.592	6.094	37.282	47.975	61.86	119.635	57.775
