conv	turn	fresh	reused_tok	num_total_blk	num_new_blk	num_reused_blk	num_missed_blk	kv_size_bytes	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms	xfer_prep_ms	xfer_preproc_ms	xfer_transmissions_ms	xfer_postproc_ms
aa-rwlt-coding-agent-010	0	8190	2070	321	0	0	321	410222592	5.135	10.589	95.26	114.904	19.644				
aa-rwlt-coding-agent-010	1	8291	10260	580	0	0	580	741212160	12.221	19.517	125.982	155.792	29.81				
aa-rwlt-coding-agent-010	2	165	18551	585	0	0	585	747601920	11.33	18.499	44.067	71.687	27.62				
aa-rwlt-coding-agent-010	3	315	18716	595	0	0	595	760381440	10.414	17.884	43.369	70.498	27.129				
aa-rwlt-coding-agent-010	4	1830	19031	652	0	0	652	833224704	12.788	20.534	64.281	99.468	35.187				
aa-rwlt-coding-agent-010	5	1349	20861	695	0	0	695	888176640	14.758	23.339	59.29	96.016	36.726				
aa-rwlt-coding-agent-010	6	107	22210	698	0	0	698	892010496	14.398	22.748	47.817	83.101	35.284				
aa-rwlt-coding-agent-010	7	1395	22317	741	0	0	741	946962432	16.909	25.599	62.094	103.747	41.653				
aa-rwlt-coding-agent-010	8	99	23712	745	0	0	745	952074240	16.991	25.728	47.698	85.464	37.766				
aa-rwlt-coding-agent-010	9	1913	23811	804	0	0	804	1027473408	20.905	30.997	73.723	120.937	47.214				
aa-rwlt-coding-agent-010	10	172	25724	810	0	0	810	1035141120	21.274	30.696	52.105	97.37	45.265				
aa-rwlt-coding-agent-010	11	1266	25896	849	0	0	849	1084981248	23.909	33.568	72.11	122.346	50.236				
aa-rwlt-coding-agent-010	12	152	27162	854	0	0	854	1091371008	24.326	33.952	52.257	100.618	48.361				
aa-rwlt-coding-agent-010	13	725	27314	877	0	0	877	1120763904	26.06	35.919	59.441	111.187	51.746				
aa-rwlt-coding-agent-010	14	862	28039	904	0	0	904	1155268608	29.229	40.056	67.343	119.574	52.231				
aa-rwlt-coding-agent-010	15	597	28901	922	1	0	922	1178271744	30.449	40.698	60.514	116.951	56.437				
aa-rwlt-coding-agent-010	16	831	29498	948	0	0	948	1211498496	32.34	42.548	64.608	123.517	58.909				
aa-rwlt-coding-agent-010	17	248	30329	956	0	0	956	1221722112	32.965	43.307	57.149	115.892	58.743				
aa-rwlt-coding-agent-010	18	663	30577	977	0	0	977	1248559104	34.671	45.316	64.327	126.102	61.775				
aa-rwlt-coding-agent-010	19	128	31240	981	0	0	981	1253670912	35.015	45.739	61.86	117.866	56.006				
aa-rwlt-coding-agent-010	20	1518	31368	1028	0	0	1028	1313734656	42.111	53.121	78.91	150.544	71.634				
aa-rwlt-coding-agent-010	21	419	32886	1041	0	0	1041	1330348032	43.573	55.006	60.904	131.51	70.606				
aa-rwlt-coding-agent-010	22	165	33305	1046	0	0	1046	1336737792	44.382	56.057	60.004	132.819	72.815				
aa-rwlt-coding-agent-010	23	913	33470	1075	0	0	1075	1373798400	47.708	59.407	71.695	147.671	75.976				
aa-rwlt-coding-agent-010	24	743	34383	1098	0	0	1098	1403191296	50.503	62.942	71.85	152.317	80.467				
aa-rwlt-coding-agent-010	25	887	35126	1126	0	0	1126	1438973952	55.145	66.927	73.937	158.239	84.302				
aa-rwlt-coding-agent-010	26	264	36013	1134	0	0	1134	1449197568	56.14	68.572	67.439	150.484	83.045				
aa-rwlt-coding-agent-010	27	269	36277	1143	0	0	1143	1460699136	56.677	68.696	65.769	148.353	82.584				
aa-rwlt-coding-agent-010	28	230	36546	1150	0	0	1150	1469644800	56.71	68.955	65.75	152.447	86.697				
aa-rwlt-coding-agent-010	29	691	36776	1171	1	0	1171	1496481792	60.887	72.998	74.416	164.864	90.448				
aa-rwlt-coding-agent-010	30	530	37467	1188	0	0	1188	1518206976	62.531	74.962	74.26	168.114	93.854				
aa-rwlt-coding-agent-010	31	407	37997	1201	0	0	1201	1534820352	63.647	76.437	68.209	161.885	93.676				
aa-rwlt-coding-agent-010	32	600	38404	1219	0	0	1219	1557823488	67.278	79.85	76.691	175.398	98.707				
aa-rwlt-coding-agent-010	33	318	39004	1229	0	0	1229	1570603008	69.08	82.038	69.672	170.353	100.681				
aa-rwlt-coding-agent-010	34	367	39322	1241	0	0	1241	1585938432	69.77	82.797	72.318	173.505	101.187				
aa-rwlt-coding-agent-010	35	663	39689	1261	0	0	1261	1611497472	79.028	92.863	79.014	237.502	158.488				
aa-rwlt-coding-agent-010	36	589	40352	1280	0	0	1280	1635778560	80.149	93.267	79.609	193.757	114.148				
aa-rwlt-coding-agent-010	37	208	40941	1286	0	0	1286	1643446272	80.722	93.649	72.567	183.868	111.301				
