conversation_id	conversation_idx	input_tokens	cached_tokens_agg	cached_tokens_disagg	ttft_server_agg_ms	ttft_server_disagg_ms	delta_ttft_ms	proxy_to_ctx_ms	ctx_postproc_ms	relay_hop_ms	gen_preproc_ms	gen_queue_ms	gen_first_decode_ms	proxy_to_client_ms	delta_preproc_ms	delta_queue_ms	delta_prefill_ms	delta_postproc_ms	delta_gpu_forward_ms	delta_prefill_host_ms
aa-rwlt-coding-agent-010	0	10260	2070	2070	95.970	153.941	57.971	0.842	2.230	4.892	1.554	18.235	5.587	0.482	4.184	1.525	23.399	-4.959		
aa-rwlt-coding-agent-010	1	18551	10263	10260	125.349	69.821	-55.528	0.866	3.059	4.941	1.651	16.793	5.582	0.501	0.047	0.239	-84.161	-5.046		
aa-rwlt-coding-agent-010	2	18716	18554	18551	42.454	68.297	25.843	0.903	2.303	5.080	1.712	16.175	5.537	0.506	0.304	0.153	-1.760	-5.070		
aa-rwlt-coding-agent-010	3	19031	18719	18716	42.065	100.410	58.345	2.507	3.105	5.320	1.788	19.225	5.960	0.478	0.893	0.684	22.398	-4.013		
aa-rwlt-coding-agent-010	4	20861	19034	19031	64.025	93.357	29.332	0.998	2.207	5.624	1.898	21.704	5.652	0.522	0.586	0.523	-5.378	-5.004		
aa-rwlt-coding-agent-010	5	22210	20864	20861	58.923	81.255	22.332	1.087	2.163	5.816	1.933	21.847	5.510	0.523	0.134	0.328	-12.339	-4.670		
aa-rwlt-coding-agent-010	6	22317	22213	22210	46.908	99.602	52.694	1.112	2.890	5.963	1.996	23.612	5.622	0.490	0.634	0.468	14.848	-4.941		
aa-rwlt-coding-agent-010	7	23712	22323	22317	62.413	83.497	21.084	1.076	2.106	5.982	2.063	23.820	5.660	0.501	0.033	0.263	-16.366	-4.054		
aa-rwlt-coding-agent-010	8	23811	23715	23712	46.610	123.239	76.629	1.202	2.735	6.507	2.244	27.939	5.583	0.492	1.141	1.102	32.661	-4.977		
aa-rwlt-coding-agent-010	9	25724	23816	23811	73.122	89.441	16.319	1.173	2.213	6.399	2.203	27.832	5.637	0.504	0.271	0.209	-25.191	-4.931		
aa-rwlt-coding-agent-010	10	25896	25727	25724	49.091	117.305	68.214	1.273	2.579	6.672	2.306	30.828	5.591	0.488	0.880	0.613	21.713	-4.729		
aa-rwlt-coding-agent-010	11	27162	25899	25896	72.260	97.719	25.459	1.245	2.246	6.728	2.391	31.037	5.634	0.499	0.403	0.638	-21.886	-3.476		
aa-rwlt-coding-agent-010	12	27314	27165	27162	50.860	106.249	55.389	1.332	2.533	6.874	2.429	32.770	5.678	0.499	0.585	0.369	7.089	-4.769		
aa-rwlt-coding-agent-010	13	28039	27317	27314	59.169	116.735	57.566	1.981	2.410	7.237	2.634	37.708	5.714	1.434	1.035	1.114	1.442	-5.143		
