conversation_id	conversation_idx	isl_agg_r7	isl_disagg_r7b_si1	isl_match	osl_agg_r7	osl_disagg_r7b_si1	cached_agg_r7	cached_disagg_r7b_si1	cache_ratio_agg_r7	cache_ratio_disagg_r7b_si1	cache_blocks_delta	warm_prefix	unique_agg_r7	unique_disagg_r7b_si1	ttft_agg_r7_ms	ttft_disagg_r7b_si1_ms	ttft_delta_ms	itl_agg_r7_ms	itl_disagg_r7b_si1_ms
aa-rwlt-coding-agent-010	0	10258	10261	false	77	104	2070	2070	0.2018	0.2017	0	false	8188	8191	180.432	121.447	-58.985	2.969	2.034
aa-rwlt-coding-agent-010	1	18549	18552	false	83	104	10261	10261	0.5532	0.5531	0	true	8288	8291	211.828	161.349	-50.479	2.405	1.964
aa-rwlt-coding-agent-010	2	18714	18717	false	51	51	18552	18552	0.9913	0.9912	0	true	162	165	127.494	77.695	-49.799	0.004	2.230
aa-rwlt-coding-agent-010	3	19029	19032	false	77	72	18717	18717	0.9836	0.9834	0	true	312	315	126.782	76.904	-49.877	1.894	2.060
aa-rwlt-coding-agent-010	4	20859	20862	false	58	58	19032	19032	0.9124	0.9123	0	true	1827	1830	148.948	105.344	-43.605	0.270	2.111
aa-rwlt-coding-agent-010	5	22208	22211	false	61	61	20862	20862	0.9394	0.9393	0	true	1346	1349	142.450	102.109	-40.341		2.022
aa-rwlt-coding-agent-010	6	22315	22318	false	49	51	22211	22211	0.9953	0.9952	0	true	104	107	127.188	89.165	-38.023	0.004	1.912
aa-rwlt-coding-agent-010	7	23710	23713	false	86	70	22321	22318	0.9414	0.9412	-3	true	1389	1395	148.432	108.968	-39.463	1.749	2.128
aa-rwlt-coding-agent-010	8	23809	23812	false	53	56	23713	23713	0.9960	0.9958	0	true	96	99	124.908	92.883	-32.025	0.004	2.089
aa-rwlt-coding-agent-010	9	25722	25725	false	73	76	23814	23812	0.9258	0.9256	-2	true	1908	1913	158.795	130.868	-27.928	1.297	1.919
aa-rwlt-coding-agent-010	10	25894	25897	false	50	56	25726	25725	0.9935	0.9934	-1	true	168	172	133.855	100.605	-33.250	0.004	2.018
aa-rwlt-coding-agent-010	11	27160	27163	false	82	82	25897	25897	0.9535	0.9534	0	true	1263	1266	158.356	131.031	-27.325	1.437	1.950
aa-rwlt-coding-agent-010	12	27312	27315	false	53	50	27163	27163	0.9945	0.9944	0	true	149	152	134.012	107.463	-26.549	0.004	2.171
aa-rwlt-coding-agent-010	13	28037	28040	false	472	47	27315	27315	0.9742	0.9741	0	true	722	725	146.853	124.643	-22.209	1.688	2.067
aa-rwlt-coding-agent-010	14	28899	28902	false	382	451	28040	28040	0.9703	0.9702	0	true	859	862	169.298	121.853	-47.445	1.712	1.652
aa-rwlt-coding-agent-010	15	29496	29499	false	52	52	28905	28902	0.9800	0.9798	-3	true	591	597	167.635	123.865	-43.770	0.132	2.255
aa-rwlt-coding-agent-010	16	30327	30330	false	259	233	29499	29499	0.9727	0.9726	0	true	828	831	152.269	129.675	-22.593	1.917	1.861
aa-rwlt-coding-agent-010	17	30575	30578	false	54	63	30330	30330	0.9920	0.9919	0	true	245	248	144.574	122.951	-21.623	0.694	2.230
aa-rwlt-coding-agent-010	18	31238	31241	false	57	71	30578	30578	0.9789	0.9788	0	true	660	663	152.064	132.670	-19.394	0.108	2.144
aa-rwlt-coding-agent-010	19	31366	31369	false	50	50	31241	31241	0.9960	0.9959	0	true	125	128	150.820	129.808	-21.013	0.123	2.380
aa-rwlt-coding-agent-010	20	32884	32887	false	584	785	31369	31369	0.9539	0.9538	0	true	1515	1518	168.753	160.614	-8.139	1.657	1.854
aa-rwlt-coding-agent-010	21	33303	33306	false	355	325	32887	32887	0.9875	0.9874	0	true	416	419	160.118	139.798	-20.320	1.760	1.707
aa-rwlt-coding-agent-010	22	33468	33471	false	428	592	33306	33306	0.9952	0.9951	0	true	162	165	157.976	136.460	-21.515	1.718	1.733
aa-rwlt-coding-agent-010	23	34381	34384	false	312	234	33472	33471	0.9736	0.9734	-1	true	909	913	173.766	153.503	-20.263	1.774	1.905
aa-rwlt-coding-agent-010	24	35124	35127	false	286	403	34384	34384	0.9789	0.9788	0	true	740	743	168.431	156.041	-12.390	1.806	1.690
aa-rwlt-coding-agent-010	25	36011	36014	false	207	300	35127	35127	0.9755	0.9754	0	true	884	887	169.428	160.089	-9.339	2.111	1.840
aa-rwlt-coding-agent-010	26	36275	36278	false	1038	186	36022	36014	0.9930	0.9927	-8	true	253	264	163.340	151.142	-12.198	1.704	2.200
aa-rwlt-coding-agent-010	27	36544	36547	false	57	55	36282	36278	0.9928	0.9926	-4	true	262	269	195.934	151.132	-44.802	0.799	2.586
aa-rwlt-coding-agent-010	28	36774	36777	false	47	47	36547	36547	0.9938	0.9937	0	true	227	230	155.837	157.966	2.129	0.004	2.482
aa-rwlt-coding-agent-010	29	37465	37468	false	2404	1203	36777	36777	0.9816	0.9816	0	true	688	691	174.548	166.833	-7.716	1.518	1.675
aa-rwlt-coding-agent-010	30	37995	37998	false	832	630	37468	37468	0.9861	0.9861	0	true	527	530	256.457	181.027	-75.430	1.881	1.774
aa-rwlt-coding-agent-010	31	38402	38405	false	53	53	37998	37998	0.9895	0.9894	0	true	404	407	192.307	169.707	-22.600	0.124	2.099
aa-rwlt-coding-agent-010	32	39002	39005	false	640	1826	38406	38405	0.9847	0.9846	-1	true	596	600	168.792	179.400	10.608	1.825	1.735
aa-rwlt-coding-agent-010	33	39320	39323	false	748	319	39006	39005	0.9920	0.9919	-1	true	314	318	175.751	173.037	-2.714	1.814	2.019
aa-rwlt-coding-agent-010	34	39687	39690	false	680	1017	39323	39323	0.9908	0.9908	0	true	364	367	190.860	175.105	-15.754	1.793	1.705
aa-rwlt-coding-agent-010	35	40350	40353	false	564	485	39691	39690	0.9837	0.9836	-1	true	659	663	193.547	187.489	-6.058	1.859	1.722
aa-rwlt-coding-agent-010	36	40939	40942	false	299	1589	40353	40353	0.9857	0.9856	0	true	586	589	191.361	189.237	-2.124	2.031	1.789
aa-rwlt-coding-agent-010	37	41147	41150	false	190	428	40945	40942	0.9951	0.9949	-3	true	202	208	168.648	187.351	18.703	2.163	1.942
aa-rwlt-coding-agent-010	38	41657	41660	false	91	186	41150	41150	0.9878	0.9878	0	true	507	510	171.570	188.249	16.680	2.444	1.587
aa-rwlt-coding-agent-010	39	41903	41906	false	180	147	41660	41660	0.9942	0.9941	0	true	243	246	164.304	184.627	20.324	2.104	2.072
aa-rwlt-coding-agent-010	40	42636	42639	false	63	67	41907	41906	0.9829	0.9828	-1	true	729	733	177.661	207.313	29.652	3.583	2.762
aa-rwlt-coding-agent-010	41	45124	45127	false	79	75	42639	42639	0.9449	0.9449	0	true	2485	2488	220.111	254.465	34.355	2.239	2.415
aa-rwlt-coding-agent-010	42	45269	45272	false	62	59	45127	45127	0.9969	0.9968	0	true	142	145	170.626	203.260	32.634	1.594	2.396
aa-rwlt-coding-agent-010	43	45356	45359	false	50	38	45279	45272	0.9983	0.9981	-7	true	77	87	170.048	202.921	32.873	1.136	2.699
aa-rwlt-coding-agent-010	44	46423	46426	false	55	56	45359	45359	0.9771	0.9770	0	true	1064	1067	207.737	234.671	26.934	0.860	2.740
aa-rwlt-coding-agent-010	45	46508	46511	false	61	56	46426	46426	0.9982	0.9982	0	true	82	85	172.843	211.440	38.597	1.196	2.772
