conversation_id	conversation_idx	isl_agg_r9	isl_disagg_r9	isl_match	osl_agg_r9	osl_disagg_r9	cached_agg_r9	cached_disagg_r9	cache_ratio_agg_r9	cache_ratio_disagg_r9	cache_blocks_delta	warm_prefix	unique_agg_r9	unique_disagg_r9	ttft_agg_r9_ms	ttft_disagg_r9_ms	ttft_delta_ms	itl_agg_r9_ms	itl_disagg_r9_ms
aa-rwlt-coding-agent-010	0	10261	10258	false	142	217	2070	2070	0.2017	0.2018	0	false	8191	8188	182.314	117.567	-64.747	2.104	2.157
aa-rwlt-coding-agent-010	1	18552	18549	false	127	200	10264	10240	0.5533	0.5521	-24	true	8288	8309	213.348	154.174	-59.173	2.081	2.484
aa-rwlt-coding-agent-010	2	18717	18714	false	51	48	18555	18528	0.9913	0.9901	-27	true	162	186	127.032	70.161	-56.871	0.409	3.229
aa-rwlt-coding-agent-010	3	19032	19029	false	75	75	18720	18688	0.9836	0.9821	-32	true	312	341	126.279	74.228	-52.052	1.167	2.630
aa-rwlt-coding-agent-010	4	20862	20859	false	58	59	19035	19008	0.9124	0.9113	-27	true	1827	1851	150.988	96.354	-54.634	0.566	2.959
aa-rwlt-coding-agent-010	5	22211	22208	false	61	56	20865	20832	0.9394	0.9380	-33	true	1346	1376	145.545	91.254	-54.291		3.127
aa-rwlt-coding-agent-010	6	22318	22315	false	51	51	22214	22208	0.9953	0.9952	-6	true	104	107	131.799	75.762	-56.037	0.004	2.823
aa-rwlt-coding-agent-010	7	23713	23710	false	92	86	22324	22304	0.9414	0.9407	-20	true	1389	1406	154.473	95.193	-59.281	2.103	2.626
aa-rwlt-coding-agent-010	8	23812	23809	false	53	53	23716	23680	0.9960	0.9946	-36	true	96	129	124.966	79.379	-45.587	0.004	3.256
aa-rwlt-coding-agent-010	9	25725	25722	false	77	88	23817	23808	0.9258	0.9256	-9	true	1908	1914	162.563	108.520	-54.043	0.933	2.371
aa-rwlt-coding-agent-010	10	25897	25894	false	52	54	25729	25696	0.9935	0.9924	-33	true	168	198	134.427	81.941	-52.486	0.004	3.248
aa-rwlt-coding-agent-010	11	27163	27160	false	83	88	25900	25888	0.9535	0.9532	-12	true	1263	1272	160.684	102.923	-57.760	1.448	2.778
aa-rwlt-coding-agent-010	12	27315	27312	false	53	53	27166	27136	0.9945	0.9936	-30	true	149	176	134.979	87.671	-47.308	0.004	3.683
aa-rwlt-coding-agent-010	13	28040	28037	false	48	48	27318	27296	0.9743	0.9736	-22	true	722	741	141.415	95.336	-46.079	0.004	3.093
aa-rwlt-coding-agent-010	14	28902	28899	false	222	181	28043	28032	0.9703	0.9700	-11	true	859	867	156.149	99.302	-56.847	1.956	2.820
aa-rwlt-coding-agent-010	15	29499	29496	false	52	53	28907	28896	0.9799	0.9797	-11	true	592	600	151.292	97.767	-53.525	0.004	2.903
aa-rwlt-coding-agent-010	16	30330	30327	false	326	91	29502	29472	0.9727	0.9718	-30	true	828	855	153.611	102.342	-51.269	2.003	2.646
aa-rwlt-coding-agent-010	17	30578	30575	false	51	58	30333	30304	0.9920	0.9911	-29	true	245	271	138.985	93.025	-45.960	0.004	2.404
