match_idx	conversation_id	conversation_idx	input_tokens	output_tokens	cached_tokens	ttft_client_ms	itl_client_ms	elapsed_client_ms	ttft_server_ms	proxy_to_ctx_ms	ctx_preproc_ms	ctx_queue_ms	ctx_prefill_ms	ctx_postproc_ms	relay_hop_ms	gen_preproc_ms	gen_queue_ms	gen_first_decode_ms	gen_postproc_ms	proxy_to_client_ms	kv_transfer_ctx_ms	kv_transfer_gen_ms	ctx_gpu_forward_ms	ctx_gpu_sample_ms	ctx_prefill_host_ms	ctx_decode_ms	gen_decode_ms	end_to_end_ms	kv_cache_mb	kv_transfer_gen_GBps	ctx_first_iter	ctx_last_iter	gen_first_iter	gen_last_iter	ctx_kv_blocks_total	ctx_kv_blocks_new	ctx_kv_blocks_reused	ctx_kv_blocks_missed	ctx_kv_block_reuse_ratio	gen_kv_blocks_total	gen_kv_blocks_new	gen_kv_blocks_reused	gen_kv_blocks_missed	gen_kv_block_reuse_ratio
0	aa-rwlt-coding-agent-056	0	9576	85	0	2281.767	2.626	2345.856	287.317	0.829	10.579	4.343	38.325	105.718	4.546	1.350	18.537	5.570	96.975	0.545		12.267				0.000	92.112	287.317	13.406	1.093	3.000	3.000	44.000	66.000	11.000	11.000	300.000	10.000	0.968	11.000	11.000	300.000	10.000	0.968
1	aa-rwlt-coding-agent-056	1	9889	39	9576	291.396	0.039	292.379	318.437	0.744	6.938	3.963	33.252	129.947	3.843	1.341	11.943	5.618	120.350	0.498		4.967				0.000	54.882	318.437	2.438	0.491	5.000	5.000	69.000	82.000	2.000	2.000	310.000	1.000	0.997	2.000	2.000	310.000	1.000	0.997
2	aa-rwlt-coding-agent-056	2	9944	34	9889	322.855	0.010	323.242	314.858	0.785	8.645	5.172	61.249	103.355	4.299	1.668	26.260	6.480	96.444	0.501		20.100				0.000	101.185	314.858	132.844	6.609	7.000	7.000	85.000	109.000	109.000	109.000	311.000	108.000	0.742	109.000	109.000	311.000	108.000	0.742
3	aa-rwlt-coding-agent-056	3	13401	55	9944	319.828	0.248	325.433	131.830	0.933	10.113	5.849	67.138	2.422	4.923	1.748	34.927	5.795	-2.500	0.482		27.846				0.000	92.793	131.830	123.094	4.421	9.000	9.000	112.000	133.000	101.000	101.000	419.000	100.000	0.807	101.000	101.000	419.000	100.000	0.807
4	aa-rwlt-coding-agent-056	4	16595	58	13401	219.866	0.476	233.014	454.583	1.127	16.744	9.932	240.770	3.082	7.791	3.136	168.109	6.425	-3.036	0.503		156.589				0.000	1545.276	454.583	592.312	3.783	11.000	11.000	136.000	477.000	486.000	486.000	519.000	485.000	0.517	486.000	486.000	519.000	485.000	0.517
5	aa-rwlt-coding-agent-056	5	32113	928	16595	544.815	1.729	2012.666	138.327	1.416	17.223	9.489	36.817	2.250	7.584	2.622	57.059	5.964	-2.584	0.487		45.616				0.000	918.119	138.327	19.500	0.427	13.000	13.000	480.000	681.000	16.000	16.000	1004.000	15.000	0.985	16.000	16.000	1004.000	15.000	0.985
6	aa-rwlt-coding-agent-056	6	32593	514	32113	230.034	1.858	1066.421	224.302	1.370	18.148	10.100	82.994	2.447	8.111	2.648	95.315	5.990	-3.309	0.488		84.102				0.000	1170.747	224.302	118.219	1.406	15.000	15.000	684.000	942.000	97.000	97.000	1019.000	96.000	0.914	97.000	97.000	1019.000	96.000	0.914
7	aa-rwlt-coding-agent-056	7	35650	674	32593	316.156	1.798	1405.888	873.335	1.476	25.195	15.357	403.299	2.170	12.016	4.014	406.399	6.082	-3.150	0.477		390.237				0.000	2471.823	873.335	704.438	1.805	17.000	17.000	945.000	1499.000	578.000	578.000	1115.000	577.000	0.659	578.000	578.000	1115.000	577.000	0.659
8	aa-rwlt-coding-agent-056	8	54132	1504	35650	963.868	1.678	3356.566	490.524	1.518	25.688	15.688	53.217	2.717	11.574	3.813	372.429	6.706	-3.314	0.488		355.778				0.000	74.485	490.524	26.812	0.075	19.000	19.000	1502.000	1519.000	22.000	22.000	1692.000	21.000	0.988	22.000	22.000	1692.000	21.000	0.988
9	aa-rwlt-coding-agent-056	9	54807	50	54132	576.226	0.004	576.597	467.792	1.389	26.135	14.956	31.494	2.244	11.449	4.057	372.693	6.003	-3.163	0.535		356.980				0.000	92.305	467.792	3.656	0.010	21.000	21.000	1522.000	1543.000	3.000	3.000	1713.000	2.000	0.999	3.000	3.000	1713.000	2.000	0.999
