RequestID,RequestInfo,Preparation,Preprocess,Transmissions,Postprocess,Delay,Duration,Bandwidth(Gbps)
158576641454080,310.02,262.949,0.077716,75.3565,8.97677,0.001541,75.3542,40.7022
158583096487937,0.735779,0.391802,0.023141,11.7161,0.062078,0.00065,11.7148,8.72708
158584367362050,0.422155,0.373306,0.021024,4.29077,0.062796,0.00067,4.28943,4.76689
158585738899459,0.73207,0.514002,0.035379,20.3684,0.116431,0.000546,20.3673,54.714
158587131408388,0.752228,0.577231,0.038685,26.1271,0.115407,0.000537,26.1261,39.5232
158588112875525,1.52277,1.17597,0.085065,157.725,0.318965,0.000619,157.724,31.5024
158593108291590,1.06926,0.861214,0.020678,43.5053,0.055828,0.000672,43.5042,3.76005
158602998460423,1.36965,0.97202,0.032279,82.0067,0.111028,0.000658,82.0056,11.9683
158612049768456,2.25683,1.73238,0.099591,403.408,0.371953,0.000661,403.406,14.6484
158618496413705,1.73561,1.43771,0.022894,400.484,0.058637,0.000669,400.483,0.561621
158621394677770,1.70049,1.40448,0.019616,361.86,0.059037,0.000707,361.858,0.0847592
158623810596875,1.68364,1.46949,0.019401,349.205,0.056869,0.000697,349.204,0.117108
158626209738764,1.71596,1.43821,0.02355,200.672,0.060572,0.000643,200.67,0.509473
158628097175565,1.67932,1.40824,0.020488,133.468,0.073424,0.000653,133.467,0.536203
158629682622478,1.76249,1.48403,0.023659,140.654,0.058376,0.000705,140.653,1.01761
158632543137807,1.79871,1.46939,0.021549,142.768,0.062254,0.00067,142.767,0.572884
158635399458832,1.84729,1.5233,0.026464,147.151,0.069683,0.000748,147.15,2.29276
158637110734865,1.80824,1.49119,0.024283,160.177,0.061035,0.000767,160.176,1.08507
158639702814738,1.98259,1.60367,0.031606,214.987,0.094948,0.000644,214.985,3.75684
158641888047123,1.84916,1.53379,0.020094,177.738,0.058573,0.000717,177.736,0.230085
158644345909268,1.90151,1.58604,0.023189,163.663,0.062296,0.000729,163.662,0.374808
158646011047957,1.85198,1.52941,0.021828,163.95,0.057311,0.000897,163.948,0.187076
158648351469590,1.89515,1.55034,0.020247,170.039,0.059386,0.000685,170.038,0.240502
158652013096983,1.94195,1.6047,0.025542,199.91,0.066744,0.000637,199.909,2.0968
158654550650904,1.90947,1.58556,0.020139,200.543,0.059625,0.000697,200.542,0.356859
158656668774425,1.89411,1.60243,0.021645,168.295,0.057892,0.000803,168.294,0.485989
158658442965018,1.91908,1.59253,0.023036,178.247,0.062098,0.000682,178.246,0.573569
158661785825307,2.02048,1.71262,0.027793,201.912,0.067614,0.000708,201.911,1.72156
158664860250140,1.97496,1.66643,0.021228,191.018,0.066102,0.0007,191.017,0.588742
158668882587677,1.97038,1.67052,0.020011,174.179,0.058118,0.000672,174.177,0.293483
158671587913758,2.03189,1.77019,0.027979,213.928,0.081343,0.00064,213.927,2.24614
158676306505759,2.05116,1.7663,0.022561,219.233,0.061035,0.000643,219.231,0.606241
158679229935648,2.03093,1.72861,0.02125,188.97,0.058183,0.000732,188.969,0.432817
158681054457889,2.0087,1.76809,0.020408,194.289,0.05755,0.000736,194.288,0.210484
158683386490914,2.10997,1.8227,0.026566,212.636,0.064944,0.000718,212.635,1.29818
158686041485347,2.11927,1.87915,0.025848,223.194,0.067572,0.000717,223.193,1.60322
158688969109540,2.13379,1.82444,0.023392,217.147,0.060243,0.000729,217.146,0.612062
158692060311589,2.14857,1.8617,0.026321,245.435,0.064874,0.000693,245.434,1.41628
158694975352870,2.16093,1.88915,0.02404,221.517,0.061578,0.000574,221.516,1.06152
158698636980263,2.25089,1.96215,0.027741,274.636,0.085015,0.000714,274.635,2.04744
158703246520360,2.35001,2.07326,0.033643,317.317,0.099111,0.000669,317.316,2.77084
158706132201513,2.30149,2.11104,0.022729,279.876,0.063379,0.000721,279.875,0.365292
158712062947370,2.38809,2.23796,0.022409,252.078,0.066928,0.000855,252.076,0.283904
158714290122795,2.31523,2.21173,0.022947,269.594,0.059143,0.000727,269.593,0.758449
158716714430508,2.35997,2.05679,0.019723,253.944,0.056535,0.000742,253.943,0.120779
158719193264173,2.33488,2.05205,0.021056,257.113,0.061183,0.000677,257.112,0.159053
158722225745966,2.64873,2.07736,0.024556,270.131,0.059411,0.000659,270.13,0.681248
158724561973295,2.34409,2.07018,0.020486,272.665,0.059887,0.000661,272.664,0.149981
158726805925936,2.36382,2.07971,0.022404,281.255,0.063807,0.000673,281.254,0.363501
158729989402673,2.36803,2.16897,0.022211,271.071,0.0634,0.000735,271.07,0.188579
158732497596466,2.39738,2.12862,0.021576,277.192,0.061171,0.000671,277.191,0.184415
158734812852275,2.39809,2.18164,0.022678,289.293,0.060018,0.000631,289.292,0.494761
158737488818228,2.38368,2.09816,0.022395,274.064,0.065898,0.000702,274.063,0.261128
158740030566453,2.38337,2.09981,0.021519,280.983,0.059903,0.000788,280.981,0.363854
158743218237494,2.44444,2.10972,0.021134,284.207,0.060435,0.000625,284.206,0.179863
158745638350903,2.4008,2.20294,0.02222,290.167,0.060324,0.000639,290.166,0.211402
158748284956728,2.41433,2.10503,0.024375,287.307,0.060456,0.000828,287.306,0.427013
158750872842297,2.47959,2.28233,0.02749,313.403,0.06532,0.000738,313.402,1.04389
158754521886778,2.52133,2.2191,0.026102,346.891,0.068588,0.000736,346.89,0.913639
158759047540795,2.52428,2.22037,0.025481,331.598,0.068908,0.000806,331.596,0.801619
158761857724476,2.50789,2.19463,0.019636,317.217,0.058145,0.000668,317.216,0.0966876
158764344946749,0.42451,0.36201,0.070144,5.4078,0.211183,0.000684,5.40679,550.248
158765498380350,0.389573,0.350751,0.019616,4.83453,0.055631,0.000491,4.83365,33.8415
158766060417087,0.401224,0.354581,0.017474,3.25755,0.052556,0.000565,3.25664,18.8359
158766580510784,0.406379,0.34843,0.017432,2.96821,0.051811,0.000588,2.96727,10.3364
158767104798785,0.474315,0.398836,0.027104,5.25421,0.085019,0.000593,5.25327,145.961
158768153374786,0.533776,0.441957,0.025881,7.34809,0.082052,0.000623,7.34712,84.8823
158769034178627,0.592614,0.462974,0.018708,6.72367,0.053123,0.000548,6.72278,25.8526
158769801736260,0.543944,0.469467,0.018835,6.17956,0.053179,0.000492,6.17873,21.5104
158770443464773,0.693029,0.54969,0.034333,11.7132,0.114768,0.000613,11.7122,103.875
158772293152838,0.675495,0.551755,0.018334,11.566,0.057313,0.000512,11.5649,7.07215
158772985212999,0.677332,0.565042,0.019075,10.5865,0.055685,0.000578,10.5856,10.6239
158773664690248,0.691575,0.575887,0.01793,10.502,0.057317,0.000664,10.5009,7.78873
158774444830793,0.698875,0.582961,0.018777,10.3974,0.054938,0.000529,10.3964,7.86703
158775958974538,0.744016,0.598766,0.024812,11.9607,0.059228,0.000551,11.9597,23.9355
158777343094859,0.818987,0.627855,0.021361,12.9545,0.060336,0.000583,12.9533,14.9961
158786318905420,0.924057,0.745156,0.03749,21.6333,0.119787,0.000588,21.6322,55.2954
158793654743117,0.910472,0.717568,0.023011,23.0888,0.060775,0.00057,23.0878,11.5132
158795319881806,0.892494,0.732305,0.023865,23.7941,0.058312,0.000584,23.7931,7.3047
158798973120591,0.927557,0.772173,0.023662,26.3946,0.063314,0.000737,26.3935,14.7194
158800504041552,0.938105,0.776836,0.020846,27.3561,0.057021,0.000676,27.3551,6.35353
158801397428305,0.94486,0.77997,0.021337,28.5158,0.056985,0.000711,28.5147,5.73661
158803712684114,1.01158,0.8481,0.025958,31.6901,0.064184,0.000621,31.689,9.6787
158805977608275,1.00428,0.833002,0.025699,33.0406,0.059016,0.000607,33.0396,6.1887
158815104413780,1.04774,0.856641,0.022154,34.3412,0.057924,0.000808,34.3399,3.57262
158816090075221,1.04555,0.871301,0.024308,35.7693,0.061379,0.000594,35.7683,5.43074
158819500044374,1.06759,0.893411,0.024366,38.133,0.059347,0.000612,38.132,7.77523
158825200103511,1.1441,0.969725,0.031203,44.331,0.08986,0.000668,44.3299,15.2213
158831164403800,1.21865,1.00508,0.032954,47.704,0.065256,0.000755,47.7027,6.42958
158832829542489,1.17476,0.980718,0.022071,49.0837,0.056583,0.000697,49.0824,3.54101
158838911283290,1.22866,1.02921,0.027134,52.1115,0.061614,0.00071,52.1104,5.68955
158840232489051,1.20507,0.997455,0.02138,52.7698,0.05627,0.000658,52.7688,1.35621
158841356562524,1.18673,1.01792,0.021649,53.6956,0.056819,0.000661,53.6945,2.28484
158843776675933,1.22419,1.02908,0.023804,57.1477,0.059295,0.000713,57.1466,5.36705
158849908748382,1.27061,1.07342,0.023903,60.1175,0.061262,0.000589,60.1164,3.7414
158852693766239,1.28856,1.08502,0.023884,62.8474,0.058862,0.000603,62.8464,3.57888
158855071936608,1.28863,1.10529,0.025063,66.7392,0.062302,0.000696,66.7381,5.36165
158856409919585,1.30246,1.10086,0.022034,66.323,0.058586,0.00065,66.3219,2.00397
