RequestID,RequestInfo,Preparation,Preprocess,Transmissions,Postprocess,Delay,Duration,Bandwidth(Gbps)
172074831441920,333.762,300.825,0.07788,59.9298,9.05066,0.001217,59.9279,51.1795
172080862851073,0.710441,0.346955,0.031828,10.829,0.062221,0.000613,10.8277,9.44207
172082112753666,0.437546,0.341627,0.022366,4.20573,0.063911,0.000723,4.20449,4.86319
172083442348035,0.770459,0.479649,0.045604,18.6594,0.119216,0.000696,18.6582,59.7257
172084822274052,0.743269,0.553961,0.035041,25.2351,0.11912,0.000717,25.2339,40.9206
172085807935493,1.53297,1.15336,0.086317,167.091,0.321752,0.000681,167.09,29.7366
172094142017542,1.08856,0.832713,0.023367,158.461,0.058337,0.00097,158.46,1.0323
172106976587783,1.3917,0.964091,0.034154,167.276,0.109993,0.001141,167.274,5.92853
172113960103944,2.19928,1.7474,0.093145,531.469,0.365312,0.000928,531.467,11.1187
172121069449225,1.76637,1.44984,0.025723,405.529,0.058763,0.000755,405.528,0.554634
172123841884170,1.69115,1.42954,0.02083,255.424,0.063785,0.000711,255.423,0.120079
172125838372875,1.67051,1.40789,0.021688,216.529,0.068532,0.000723,216.528,0.188865
172127704838156,1.6912,1.42144,0.021968,188.846,0.060866,0.000788,188.844,0.541378
172129562914829,1.69034,1.43744,0.021783,225.306,0.060259,0.000818,225.305,0.317637
172131643289614,1.71507,1.45652,0.024663,199.934,0.061964,0.000768,199.932,0.715895
172136689037327,1.73048,1.47099,0.023273,196.677,0.058844,0.00078,196.675,0.415857
172141055307792,1.76476,1.4999,0.028681,150.309,0.074883,0.000734,150.307,2.2446
172142791749649,1.82538,1.56584,0.024242,142.092,0.058472,0.000756,142.091,1.22317
172145471909906,1.96803,1.62726,0.033932,201.732,0.097345,0.000743,201.731,4.00368
172147569061907,1.85141,1.56007,0.022878,199.092,0.065071,0.000762,199.09,0.205407
172149666213908,1.85711,1.58521,0.02383,170.274,0.066362,0.000772,170.272,0.360256
172151398461461,1.84421,1.58804,0.022532,172.344,0.06296,0.00075,172.342,0.177965
172153080377366,1.88608,1.57833,0.021702,155.008,0.062175,0.000732,155.007,0.263824
172156570038295,1.96768,1.69251,0.029143,182.503,0.070161,0.000812,182.502,2.29679
