
=== aa-rwlt-coding-agent-010  [79 turns | ΔTTFT min=-311.1 p50=-50.0 mean=-53.0 max=+4.2 ms] ===
turn     ISL  OSL_a  OSL_b  cache_r  unique   TTFT_agg   TTFT_dis    Δ_TTFT  ITL_agg  ITL_dis
---------------------------------------------------------------------------------------------
   0   10258    142    217    0.202    8188      182.3      117.6     -64.7      2.1      2.2
   1   18549    127    200    0.552    8309      213.3      154.2     -59.2      2.1      2.5
   2   18714     51     48    0.990     186      127.0       70.2     -56.9      0.4      3.2
   3   19029     75     75    0.982     341      126.3       74.2     -52.1      1.2      2.6
   4   20859     58     59    0.911    1851      151.0       96.4     -54.6      0.6      3.0
   5   22208     61     56    0.938    1376      145.5       91.3     -54.3               3.1
   6   22315     51     51    0.995     107      131.8       75.8     -56.0      0.0      2.8
   7   23710     92     86    0.941    1406      154.5       95.2     -59.3      2.1      2.6
   8   23809     53     53    0.995     129      125.0       79.4     -45.6      0.0      3.3
   9   25722     77     88    0.926    1914      162.6      108.5     -54.0      0.9      2.4
  10   25894     52     54    0.992     198      134.4       81.9     -52.5      0.0      3.2
  11   27160     83     88    0.953    1272      160.7      102.9     -57.8      1.4      2.8
  12   27312     53     53    0.994     176      135.0       87.7     -47.3      0.0      3.7
  13   28037     48     48    0.974     741      141.4       95.3     -46.1      0.0      3.1
  14   28899    222    181    0.970     867      156.1       99.3     -56.8      2.0      2.8
  15   29496     52     53    0.980     600      151.3       97.8     -53.5      0.0      2.9
  16   30327    326     91    0.972     855      153.6      102.3     -51.3      2.0      2.6
  17   30575     51     58    0.991     271      139.0       93.0     -46.0      0.0      2.4
  18   31238     59     61    0.978     678      153.3      102.9     -50.4      0.4      2.6
  19   31366     53     53    0.996     134      147.1       95.6     -51.5      0.0      3.2
  20   32884    180    162    0.954    1524      175.5      123.7     -51.8      2.1      2.4
  21   33303    466    490    0.987     439      151.5      101.6     -50.0      1.8      2.4
  22   33468    402    437    0.994     188      159.1      101.0     -58.1      1.7      2.4
  23   34381    335    284    0.973     941      174.0      154.8     -19.2      1.7      2.5
  24   35124    343    299    0.979     756      169.8      114.1     -55.7      1.7      2.5
  25   36011    441   1102    0.975     907      174.4      117.7     -56.6      1.7      2.6
  26   36275    599    785    0.992     275      168.8      149.4     -19.5      1.9      2.6
  27   36544     61     61    0.992     288      180.2      148.7     -31.4      0.6      2.6
  28   36774     47     47    0.994     230      158.5      113.4     -45.1      0.3      3.2
  29   37465    400    946    0.981     697      169.6      121.0     -48.6      1.7      2.6
  30   37995    795   3041    0.985     555      177.1      122.0     -55.1      1.8      2.1
  31   38402     53     53    0.989     418      192.5      148.3     -44.2      0.0      3.2
  32   39002   1124   1385    0.985     602      172.8      125.9     -46.9      1.8      2.5
  33   39320    478    349    0.991     344      202.7      124.1     -78.7      1.9      2.5
  34   39687    559    424    0.990     391      183.5      120.7     -62.8      1.8      2.4
  35   40350    210    100    0.983     670      192.1      136.3     -55.8      2.0      2.7
  36   40939    716    451    0.985     619      188.2      131.3     -56.8      1.8      2.5
  37   41147    194    392    0.995     219      191.0      121.6     -69.4      2.1      2.6
  38   41657    335    202    0.987     537      174.6      132.2     -42.4      1.7      2.0
  39   41903    830    173    0.994     271      433.9      122.8    -311.1      1.5      2.5
  40   42636     73     79    0.983     748      218.0      137.6     -80.5      2.6      3.3
