conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-010	0	8190	2070	20.175	316.875	11.114	18.235	95.97	153.941	57.971
aa-rwlt-coding-agent-010	1	8291	10260	55.307	7.312	9.338	16.793	125.349	69.821	-55.528
aa-rwlt-coding-agent-010	2	165	18551	99.118	13.406	8.605	16.175	42.454	68.297	25.843
aa-rwlt-coding-agent-010	3	315	18716	98.345	70.688	11.351	19.225	42.065	100.41	58.345
aa-rwlt-coding-agent-010	4	1830	19031	91.228	52.406	13.396	21.704	64.025	93.357	29.332
aa-rwlt-coding-agent-010	5	1349	20861	93.926	4.875	13.134	21.847	58.923	81.255	22.332
aa-rwlt-coding-agent-010	6	107	22210	99.521	53.625	14.714	23.612	46.908	99.602	52.694
aa-rwlt-coding-agent-010	7	1395	22317	94.117	4.875	14.356	23.82	62.413	83.497	21.084
aa-rwlt-coding-agent-010	8	99	23712	99.584	73.125	18.403	27.939	46.61	123.239	76.629
aa-rwlt-coding-agent-010	9	1913	23811	92.563	8.531	18.477	27.832	73.122	89.441	16.319
aa-rwlt-coding-agent-010	10	172	25724	99.336	48.75	21.031	30.828	49.091	117.305	68.214
aa-rwlt-coding-agent-010	11	1266	25896	95.339	7.312	21.316	31.037	72.26	97.719	25.459
aa-rwlt-coding-agent-010	12	152	27162	99.444	29.25	22.874	32.77	50.86	106.249	55.389
aa-rwlt-coding-agent-010	13	725	27314	97.414	34.125	26.733	37.708	59.169	116.735	57.566
aa-rwlt-coding-agent-010	14	862	28039	97.017	23.156	27.504	37.91	68.105	119.924	51.819
aa-rwlt-coding-agent-010	15	597	28901	97.976	32.906	29.233	39.65	59.905	120.067	60.162
aa-rwlt-coding-agent-010	16	831	29498	97.26	10.969	29.521	39.977	64.368	111.298	46.93
aa-rwlt-coding-agent-010	17	248	30329	99.189	26.812	31.011	41.597	56.799	121.498	64.699
aa-rwlt-coding-agent-010	18	663	30577	97.878	6.094	31.259	42.008	64.081	112.558	48.477
