conv_id	turn	fresh	reused	kv_xfer_ms	kv_xfer_dur	kv_bw_gbps	kv_prep_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-056	0	9575	0	59.93	59.928	51.179	300.903	1241.823	2293.499	1051.676
aa-rwlt-coding-agent-056	1	313	9575	10.829	10.828	9.442	0.379	154.939	288.111	133.172
aa-rwlt-coding-agent-056	2	55	9888	4.206	4.204	4.863	0.364	166.682	310.825	144.143
aa-rwlt-coding-agent-056	3	3457	9943	18.659	18.658	59.726	0.525	182.398	321.185	138.787
aa-rwlt-coding-agent-056	4	3194	13400	25.235	25.234	40.921	0.589	170.165	143.113	-27.052
aa-rwlt-coding-agent-056	5	15518	16594	167.091	167.09	29.737	1.24	359.932	485.403	125.471
aa-rwlt-coding-agent-056	6	480	32112	158.461	158.46	1.032	0.856	161.405	268.498	107.093
aa-rwlt-coding-agent-056	7	3057	32592	167.276	167.274	5.929	0.998	292.676	364.958	72.282
aa-rwlt-coding-agent-056	8	18482	35649	531.469	531.467	11.119	1.841	533.852	1034.121	500.268
aa-rwlt-coding-agent-056	9	675	54131	405.529	405.528	0.555	1.476	197.174	556.596	359.422
aa-rwlt-coding-agent-056	10	67	54806	255.424	255.423	0.12	1.45	165.063	383.776	218.713
aa-rwlt-coding-agent-056	11	92	54873	216.529	216.528	0.189	1.43	169.491	344.752	175.261
aa-rwlt-coding-agent-056	12	269	54965	188.846	188.844	0.541	1.443	172.158	324.688	152.53
aa-rwlt-coding-agent-056	13	202	55234	225.306	225.305	0.318	1.459	174.13	364.094	189.964
aa-rwlt-coding-agent-056	14	406	55436	199.934	199.932	0.716	1.481	180.341	336.166	155.824
aa-rwlt-coding-agent-056	15	245	55842	196.677	196.675	0.416	1.494	204.072	333.117	129.045
aa-rwlt-coding-agent-056	16	1026	56087	150.309	150.307	2.245	1.529	228.788	320.948	92.16
aa-rwlt-coding-agent-056	17	503	57113	142.092	142.091	1.223	1.59	170.068	286.222	116.154
aa-rwlt-coding-agent-056	18	2485	57616	201.732	201.731	4.004	1.661	236.557	408.084	171.527
aa-rwlt-coding-agent-056	19	123	60101	199.092	199.09	0.205	1.583	177.671	345.431	167.76
aa-rwlt-coding-agent-056	20	168	60224	170.274	170.272	0.36	1.609	178.278	324.718	146.44
aa-rwlt-coding-agent-056	21	71	60392	172.344	172.342	0.178	1.611	174.381	311.701	137.32
aa-rwlt-coding-agent-056	22	89	60463	155.008	155.007	0.264	1.6	168.135	293.26	125.124
aa-rwlt-coding-agent-056	23	1302	60552	182.503	182.502	2.297	1.722	212.672	369.047	156.374
